Agency,Recipient,Description,Date,SAVED
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,178834839.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, MARYLAND DEPARTMENT OF",No description available,3/23/2025,177168332.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,No description available,3/23/2025,158179048.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AL ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,156991409.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,156223438.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,145127130.0
USAID,THE JOHNS HOPKINS UNIVERSITY,"THE PROJECT WILL DEVELOP EFFECTIVE NEW TOOLS AND APPROACHES TO FIND, T...",3/1/2025,142750000.0
US AGENCY FOR GLOBAL MEDIA,Radio Free Europe/Radio Liberty,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINEASTE...,3/15/2025,142212000.0
USAID,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,MATRIX - MICROBICIDE 2021 R&D PROJECT: ADVANCING THE RESEARCH AND DEVE...,3/1/2025,138500000.0
USAID,ANOVA HEALTH INSTITUTE,“ACCELERATING PROGRAM ACHIEVEMENTS TO CONTROL THE EPIDEMIC (APACE) ACT...,3/10/2025,138390211.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,127558542.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,121665481.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,117848189.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,114243964.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,112464531.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FL ST DEPT OF HLTH,No description available,3/23/2025,110619713.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,107029296.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,101481748.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FL ST DEPT OF HLTH,No description available,3/23/2025,101174711.0
US AGENCY FOR GLOBAL MEDIA,Middle East Broadcasting Networks,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEMI...,3/15/2025,100000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX DEPT OF STATE HEALTH SERVICES,No description available,3/23/2025,97094095.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"CHICAGO, CITY OF",No description available,3/23/2025,94412426.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,COUNTRY HEALTH INFORMATION SYSTEMS AND DATA USE (CHISU),3/10/2025,94126454.0
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,92221735.0
USAID,"CHEMONICS INTERNATIONAL, INC.",PRIORITIZE MARKET IMPROVEMENTS THAT RESULT IN BETTER HEALTH OUTCOMES F...,3/1/2025,90990700.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,86327443.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,No description available,3/23/2025,84203979.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,NEW FAO II PIO,3/10/2025,84066298.0
USAID,ENGENDER HEALTH INC,"ACCELERATING CHOICE, EQUITY, AND SUSTAINABILITY FOR SERVICES (ACCESS) ...",3/1/2025,83602846.0
USAID,FAMILY HEALTH INTERNATIONAL,THIS IS INTENDED TO BE A GLOBAL AWARD DESIGNED TO SCALE UP AND IMPROVE...,3/1/2025,83521820.0
USAID,INTERNATIONAL AIDS VACCINE INITIATIVE INC,No description available,3/1/2025,81275739.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,No description available,3/23/2025,80482341.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COUNTY OF LOS ANGELES,No description available,3/23/2025,78908293.0
USAID,AGA KHAN FOUNDATION USA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,3/1/2025,74700000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,74124805.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARKANSAS DEPARTMENT OF HEALTH,No description available,3/23/2025,74068018.0
USAID,FAMILY HEALTH INTERNATIONAL,THE MICROBICIDE 2021 INTRODUCTION AND ACCESS PROJECT,3/1/2025,73943882.0
DEPARTMENT OF AGRICULTURE,Texas Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,72567353.11
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,72427680.0
USAID,INSTITUTE OF INTERNATIONAL EDUCATION INC,"ITR/R SOUGHT AN IMPLEMENTING PARTNER TO SOURCE, SUPPORT, AND FUND RESE...",3/1/2025,72077871.0
DEPARTMENT OF AGRICULTURE,California Department of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,71499974.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,70659363.0
USAID,FAMILY HEALTH INTERNATIONAL,"ENHANCING LOCAL EFFORTS FOR VITAL, TRANSFORMATIVE, AND EVIDENCE- BASED...",3/1/2025,70445767.0
USAID,ARIZONA STATE UNIVERSITY,YOUNG AFRICAN LEADERS INITIATIVE (YALI) LEGACY AND LOCALIZATION ACTIVI...,3/10/2025,70000000.0
USAID,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",THE OBJECTIVE OF THIS COOPERATIVE AGREEMENT IS TO SUPPORT THE RECIPIEN...,3/1/2025,69426762.0
USAID,TRUSTEE OF TUFTS COLLEGE,"GOAL: TO ENHANCE THE CAPACITY OF LOCAL, NATIONAL AND REGIONAL INSTITUT...",3/1/2025,68407697.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ID ST DEPT OF HEALTH & WELFARE,No description available,3/23/2025,67449188.0
USAID,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,THE PURPOSE OF THIS ACTIVITY IS TO STRENGTHEN EFFECTIVE GENERATION AND...,3/1/2025,65253758.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,64349278.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CA Department of Health Care Services,No description available,3/23/2025,63997785.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX ST DEPARTMENT OF HEALTH,No description available,3/23/2025,62848922.0
USAID,TECHNOSERVE,TO PROVIDE OPERATIONAL SUPPORT TO FIELD MISSIONS AND OTHER OPERATING U...,3/1/2025,62504799.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CA Department of Health Care Services,No description available,3/23/2025,62276642.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH RESEARCH, INC.",No description available,3/23/2025,62262226.0
US AGENCY FOR GLOBAL MEDIA,Radio Free Asia,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEAS...,3/15/2025,60830000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH & HUMAN SVC COMMN TX,No description available,3/23/2025,60505358.0
USAID,ANOVA HEALTH INSTITUTE,THE PURPOSE OF THIS ACTIVITY WILL BE TO CLOSE THE GAPS TO HIV EPIDEMIC...,3/10/2025,60205950.0
USAID,"CHEMONICS INTERNATIONAL, INC.",EDU-NEW AWARD: THE LIBERIA FOUNDATIONAL SKILLS ACTIVITY WILL INCREASE ...,3/1/2025,59440754.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,58841812.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE",THE OBJECTIVE OF THE PARTNERSHIPS PROGRAM IS TO STRENGTHEN THE HIGHER ...,3/1/2025,58724000.0
USAID,PATH A WASHINGTON NONPROFIT CORP,No description available,3/10/2025,58665200.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,56868701.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,54863370.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH & HUMAN SVC COMMN TX,No description available,3/23/2025,54051826.0
USAID,FAMILY HEALTH SERVICES,KUTETEZA (HIV PREVENTION),3/1/2025,53283580.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,52524001.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DIVISION OF CHILD AND FAMILY SERVICES,No description available,3/23/2025,52010926.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,51582432.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",No description available,3/23/2025,51030175.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,50729836.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INDIANA STATE DEPARTMENT OF HEALTH,No description available,3/23/2025,50662718.0
USAID,RTI INTERNATIONAL,USAID'S STRENGTHENING LOCAL LEVEL HEALTH SYSTEM ACTIVITY,3/1/2025,50508000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,50151685.0
USAID,VERNONBURG GROUP LLC,THE PURPOSE OF THIS AGREEMENT BETWEEN USAID AND VERNONBURG GROUP LLC (...,3/1/2025,50000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",No description available,3/23/2025,49335935.0
USAID,HELEN KELLER INTERNATIONAL,THE PURPOSE OF THIS ACTIVITY IS TO IMPROVE THE NUTRITION STATUS OF WOM...,3/10/2025,49032466.0
USAID,THE JOHNS HOPKINS UNIVERSITY,THE OBJECTIVE OF THE COOPERATIVE AGREEMENT IS TO ADVANCE PROGRESS TOWA...,3/1/2025,47788401.0
USAID,PAN AMERICAN HEALTH ORGANIZATION,THE PURPOSE OF THE GRANT IS TO PROVIDE SUPPORT TO THE PAN AMERICAN HEA...,3/1/2025,47782956.0
USAID,CORNELL UNIVERSITY,THE FEED THE FUTURE INNOVATION LAB CROP IMPROVEMENT WILL BE ENABLE THE...,3/1/2025,47702653.0
DEPARTMENT OF AGRICULTURE,Department of Social Services California,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,47284232.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,THE PURPOSE OF THIS ACTIVITY IS TO PARTNER WITH THE GOVERNMENT OF UGAN...,3/1/2025,47127354.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Maine St. Department of Health and Human Services,No description available,3/23/2025,47011347.0
USAID,TRADEMARK AFRICA,TO PROMOTE RESILIENT TRANSFORMATIVE TRADE AND INVESTMENT REFORMS IN TH...,3/1/2025,46647345.0
DEPARTMENT OF STATE,BNDES,THE GOAL OF THE FUND IS TO SUPPORT PROJECTS THAT CONTRIBUTE TO A REDUC...,2/26/2025,46528000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,45794724.0
USAID,KUKUMBI - ORGANIZACAO DE DESENVOLVIMENTO RURAL,"FORTIFYING OVC SERVICES, EMPOWERING ADOLESCENTS, AND YOUTH, AND LEVERA...",3/1/2025,45574251.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,45417796.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",No description available,3/23/2025,45257547.0
USAID,MANAGEMENT SCIENCES FOR HEALTH,TO STRENGTHEN KEY ELEMENTS OF UGANDAN HEALTH SYSTEMS FOCUSING ON HEALT...,3/10/2025,45102230.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEPARTMENT OF HEALTH NEW MEXICO,No description available,3/23/2025,45025662.0
DEPARTMENT OF STATE,GLOBAL REFUGE,No description available,2/26/2025,45006469.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INTERNATIONAL FERTILITY RESEARCH PROGRAM,No description available,3/23/2025,44188335.0
USAID,"PACT, INC.",USAID UKRAINE’S PUBLIC HEALTH SYSTEM RECOVERY AND RESILIENCE ACTIVITY ...,3/1/2025,44100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",No description available,3/23/2025,43904251.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,43750000.0
DEPARTMENT OF STATE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,No description available,2/26/2025,43657781.0
USAID,MANAGEMENT SCIENCES FOR HEALTH,BEBAS TB ACTIVITY WILL ASSIST THE GOVERNMENT OF INDONESIA (GOI) IN ADD...,3/10/2025,43500000.0
US AGENCY FOR GLOBAL MEDIA,Open Technology Fund,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEMI...,3/15/2025,43500000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NY ST DEPT OF HEALTH,No description available,3/23/2025,43176251.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,43010120.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,42755741.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE",THE PURPOSE OF THE USAID EGYPTIAN PIONEERS ACTIVITY IS TO BUILD A MORE...,3/1/2025,42672775.0
USAID,PROJECT HOPE NAMIBIA,ANA NDI ACHINYAMATA PATSOGOLO A NEW ORPHAN AND VULNERABLE CHILDREN ACT...,3/10/2025,42588358.0
DEPARTMENT OF AGRICULTURE,Florida Department of Agriculture and Consumer Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,42583883.17
USAID,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,USAID CLIMATE RESILIENT AGRICULTURE IN THE MEKONG DELTA,3/1/2025,42507888.0
USAID,UNICEF,No description available,3/1/2025,41704259.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,USAID/COLOMBIA RESTORING OUR FUTURE ACTIVITY AIMS TO ADVANCE RECONCILI...,3/1/2025,41458688.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,40743934.0
USAID,CARE,THE PURPOSE OF THIS COOPERATIVE AGREEMENT TO IMPLEMENT THE AFGHANISTAN...,2/11/2025,40710908.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NYS Office of Alcoholism and Substance Abuse Services,No description available,3/23/2025,40061246.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,39516923.0
DEPARTMENT OF AGRICULTURE,New York State Education Department,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,38975533.51
USAID,ELIZABETH GLASER PEDIATRIC AIDS FOUNDATION,THE GOAL OF THIS AWARD IS TO SUPPORT THE GOKL TO IMPROVE HEALTH OUTCOM...,3/10/2025,38891999.0
USAID,JHPIEGO CORP,"THE OBJECTIVE OF THIS PROGRAM IS TO SUPPORT A RECIPIENT, THROUGH FULL ...",3/10/2025,38890668.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"CHICAGO, CITY OF",No description available,3/23/2025,38751896.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,38629679.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",No description available,3/23/2025,38419083.0
USAID,RESEARCH TRIANGLE INSTITUTE,QUALITY INSTRUCTION TOWARDS BASIC EDUCATION IMPROVEMENT AND ACCESS 3 A...,2/12/2025,38104378.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,37718688.0
USAID,THINK TUBERCULOSIS AND HIV INVESTIGATIVE NETWORK (RF) NPC,TO ADVANCE SOUTH AFRICA’S EFFORTS TOWARD TIMELY ACHIEVEMENT OF TB ELIM...,3/1/2025,37153200.0
USAID,RTI INTERNATIONAL,GUINEA LOCAL HEALTH SYSTEMS STRENGTHENING (GLHSS) ACTIVITY WILL CONTRI...,3/10/2025,37118899.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX ST DEPARTMENT OF HEALTH,No description available,3/23/2025,36865961.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,36797642.0
USAID,CARE,ACCELERATED EDUCATION ACTIVITY (AEA) FOR USAID SOMALIA,3/1/2025,36592575.0
USAID,SOUTH AFRICAN MEDICAL RESEARCH COUNCIL,THE OBJECTIVE OF THE HIV-VISTA PROJECT IS TO SUPPORT SUB-SAHARAN AFRIC...,3/1/2025,36565555.0
USAID,DT GLOBAL INC,MARKET BASED RESILIENCE FOR MARGINALIZED POPULATIONS (MB-RMP) ACTIVITY...,3/1/2025,36309035.0
USAID,RTI INTERNATIONAL,"WITH THIS ACTIVITY, USAID SEEKS TO ADVANCE NUTRITION MONITORING, EVALU...",3/1/2025,36180934.63
USAID,COOPERATIVE HOUSING FOUNDATION,THE “IMPROVE LIVELIHOODS AND ENHANCE ECONOMIC DEVELOPMENT” (ILEED) ACT...,3/10/2025,36000000.0
USAID,RTI INTERNATIONAL,USAID DISASTER RISK MANAGEMENT (DRM) ACTIVITY,3/1/2025,35842033.0
USAID,THE AURUM INSTITUTE NPC,ACCELERATE TB ELIMINATION AND PROGRAM RESILIENCE ACTIVITY-HIGH BURDEN ...,3/1/2025,35833200.0
USAID,JHPIEGO CORP,"THE PURPOSE OF THIS ACTIVITY IS TO IMPROVE THE QUALITY, ACCESSIBILITY,...",3/1/2025,35492024.0
DEPARTMENT OF AGRICULTURE,Texas Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,35278903.0
USAID,MERCY CORPS,USAID/ETHIOPIA HIGHLANDS RESILIENCE ACTIVITY,3/1/2025,34670087.0
USAID,FAMILY HEALTH INTERNATIONAL,PROVIDE SUPPORT TO ADDRESS THE PUBLIC PURPOSE OF IMPROVING NUTRITIONAL...,3/10/2025,34499345.0
USAID,AMREF HEALTH AFRICA,THE PURPOSE OF THE HEALTH FINANCING ACTIVITY (HFA) IS TO IMPROVE ACCES...,3/1/2025,34400000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,34121561.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,33582699.0
USAID,KANSAS STATE UNIVERSITY,CRSI IL,3/1/2025,33400774.0
USAID,BRAC,"IN PARTNERSHIP WITH BRAC TO DELIVER BAMA, USAID WILL CONTINUE ITS SUPP...",3/1/2025,33332000.0
USAID,INTERNEWS NETWORK,STRENGTHEN THE RESILIENCE OF CIVIL SOCIETY AND INDEPENDENT MEDIA ACTOR...,3/1/2025,33000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OH ST DEPARTMENT OF ALCOHOL & DRUG ADDICTION SERVICES,No description available,3/23/2025,32577014.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HAWAII DEPARTMENT OF HEALTH,No description available,3/23/2025,32446913.0
USAID,TECHNOSERVE,FEED THE FUTURE LOCAL FOOD SYSTEMS,3/1/2025,32437261.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,32420022.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,No description available,3/23/2025,32344599.0
USAID,THE UNITED STATES PHARMACOPEIAL CONVENTION INC,PROMOTING THE QUALITY OF MEDICINES PLUS (PQM+) PROGRAM,3/1/2025,32255579.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HUMAN SERVICES,No description available,3/23/2025,32171138.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,31787965.0
USAID,INTERNATIONAL PLANNED PARENTHOOD FEDERATION,"TO BUILD OFF THE SUCCESSES OF THIS PREVIOUS INITIATIVE, USAID/WEST AFR...",3/1/2025,31650000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,31617517.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AL ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,31152718.0
USAID,UNITED STATES ENERGY ASSOCIATION INC,AMPUP WILL LEVERAGE THE EXPERTISE AND KNOWLEDGE OF UTILITIES AND ENERG...,3/1/2025,31022027.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,30942783.0
USAID,ATENEO DE MANILA UNIVERSITY INC,USAID/PHILIPPINES LOCAL HEALTH SYSTEMS EMPOWERMENT AND ACCESS TOWARDS ...,3/1/2025,30660899.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,30495317.0
USAID,POPULATION SERVICES INTERNATIONAL,NEW AWARD - USAID HIV SERVICES FOR KEY AND PRIORITY POPULATIONS,3/10/2025,30438762.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,30413456.0
USAID,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.",USAID'S COMMUNITY NUTRITION AND HEALTH ACTIVITY,3/1/2025,30376563.0
USAID,UNIVERSITY RESEARCH CO LLC,USAID/PHILIPPINES TB-FREE LUZON ACTIVITY,3/10/2025,30375000.0
USAID,"INTERNATIONAL RESCUE COMMITTEE, INC.",THE PURPOSE OF ACCESSIBLE AND QUALITY BASIC EDUCATION IN AFGHANISTAN (...,2/11/2025,30280715.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, NORTH DAKOTA DEPARTMENT OF",No description available,3/23/2025,30131232.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,30044431.0
USAID,CARE,THE PURPOSE OF THE STRENGTHENING ACCOUNTABILITY IN GHANA’S EDUCATION S...,3/1/2025,30000000.0
