Agency,Uploaded On,Description,Saved
USAID,2/10/2025,"REAPPS 2 PROGRAMMING WILL FOCUS ON DEVELOPING AND STRENGTHENING DEMOCRATIC LEADERSHIP SKILLS AMONG POLITICALLY ACTIVE YOUNG PEOPLE FROM POLITICAL PARTIES AND CIVIL SOCIETY; INCREASING GOVERNMENT OVERSIGHT, POLITICAL PARTICIPATION, AS WELL AS THE INSTITUTIONAL AND PUBLIC RESILIENCE TO ANTI-DEMOCRATIC INFLUENCES; AND STRENGTHENING ELECTION ADMINISTRATION LEADERSHIP AND EFFECTIVENESS. THE OVERALL GOAL OF THIS REGIONAL PROGRAM IS TO PROMOTE CROSS-BORDER LEARNING AND NETWORKING ON A WIDE RANGE OF EXISTING INITIATIVES ON, AND TO DEVELOP NEW CAPACITY IN POLITICAL PARTICIPATION, GOVERNMENT TRANSPARENCY, AND ELECTION ADMINISTRATION.",1117832.0
USAID,2/10/2025,"THE GOAL OF THE ELECT ACTIVITY SEEKS TO STRENGTHEN CIVIL SOCIETY CAPACITY THROUGH THE FOLLOWING OBJECTIVES BY, (1) PROVIDING CITIZENS, AND PARTICULARLY WOMEN, YOUTH AND OTHER MARGINALIZED GROUPS, WITH ACCURATE AND RELIABLE INFORMATION ON ELECTORAL PROCESSES AND REFORMS THROUGH CIVIC AND VOTER EDUCATION, (2) MITIGATING THE POTENTIAL FOR ELECTORAL VIOLENCE THROUGH INITIATIVES TO REDUCE DISINFORMATION, COUNTER HATE SPEECH, AND PROMOTE PEACEFUL COHESION BEFORE, DURING, AND AFTER ELECTIONS, INCLUDING THROUGH ALTERNATIVE DISPUTE RESOLUTION STRATEGIES THAT ARE ROOTED IN LOCAL COMMUNITIES AND, (3) SUPPORT LOCAL CIVIL SOCIETY ORGANIZATIONS TO MONITOR ELECTORAL PROCESSES BEFORE, DURING AND AFTER ELECTIONS.",0.0
USAID,2/10/2025,ESTABLISHMENT OF AN ELECTORAL REFORM IMPLEMENTING MECHANISM OF $1.5M WITH A PIO,0.0
USAID,2/11/2025,"THE STRENGTHENING ELECTORAL PROCESSES AND POLITICAL ACCOUNTABILITY ACTIVITY AIMS TO BUILD GOVERNMENT CAPACITY TO RESPOND TO STRATEGIC PRIORITIES, FACILITATE IMPROVED ELECTION ADMINISTRATION AND OVERSIGHT, AND STRENGTHEN INSTITUTIONS OF POLITICAL ACCOUNTABILITY FOR SUSTAINED POLITICAL COMPETITION IN ARMENIA.",895418.0
USAID,2/11/2025,THE GOAL OF THIS PROGRAM IS ELECTIONS AND POLITICAL PROCESSES THAT BETTER REFLECT AND RESPOND TO CITIZEN NEEDS. OBJECTIVES OF THE ACTIVITY ARE: OBJECTIVE 1: IMPROVE ELECTION ADMINISTRATION; OBJECTIVE 2: STRENGTHEN CAPACITIES FOR POLITICAL PARTICIPANTS; OBJECTIVE 3: FOSTER OPPORTUNITIES FOR POLITICAL PARTICIPATION,26100000.0
USAID,2/11/2025,"FACILITATING ACCOUNTABILITY, INTEGRITY AND REFORMS IN ELECTIONS (FAIR ELECTIONS) ACTIVITY",0.0
USAID,2/11/2025,GEORGIA ELECTIONS AND POLITICAL PROCESSES ACTIVITY,0.0
USAID,2/11/2025,"THE NEW ACTIVITY WILL SEEK TO STRENGTHEN DEMOCRATIC VALUES AND DEMOCRATIC CULTURE IN THE KYRGYZ REPUBLIC BY BUILDING CONSTITUENT ENGAGEMENT IN POLITICAL PROCESSES AT LOCAL AND NATIONAL LEVELS AMONG WOMEN, YOUTH, AND PEOPLE WITH DISABILITIES ORGANIZATIONS; STRENGTHENING SOCIAL DISCOURSE ON DEMOCRACY AND ISSUES OF PUBLIC CONCERN AND FOSTERING A NEW GENERATION OF DEMOCRATIC THINKERS.",4980000.0
USAID,2/11/2025,THE NEW CIVIL SOCIETY ACTIVITY WILL AIM TO ENHANCE THE ENABLING ENVIRONMENT FOR CIVIL SOCIETY THROUGH THE FOLLOWING FOUR OBJECTIVES: 1. STRENGTHEN CSO’S DOMESTIC LEGITIMACY 2. ENHANCE CSO’S RESILIENCE TO CHANGING CONTEXTS 3. ADVANCE TRUST-BASED RELATIONSHIPS AND INCLUSIVE NETWORKS AMONG DIVERSE CIVIC ACTORS 4. INCREASE PUBLIC SUPPORT FOR DEMOCRATIC VALUES,8337418.0
USAID,2/11/2025,TO BUILD THE ORGANIZATIONAL AND TECHNICAL CAPACITY OF A LOCAL NEPALI ORGANIZATION PRODUCING HIGH QUALITY RESEARCH AND ANALYSIS,0.0
USAID,2/11/2025,THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO STRENGTHEN THE CENTRAL TIBETAN ADMINISTRATION TO BE MORE EFFECTIVE AND SUSTAINABLE IN DELIVERING SERVICES TO TIBETANS AND ACHIEVING COMMUNITY SELF-RELIANCE.,2950000.0
USAID,2/11/2025,USAID’S AMAR VOTE AMAR (AVA) ACTIVITY,0.0
USAID,2/11/2025,USAID'S RESPONSIVE LOCAL GOVERNANCE ACTIVITY,13943762.0
USAID,2/11/2025,"THE PURPOSE OF USAID DIGITAL FUTURE CAMBODIA IS TO CREATE A COHORT OF CAMBODIAN YOUTH WITH ENTERPRISE-DRIVEN SKILLS, TRAINING, AND QUALIFICATIONS THAT WILL HELP THEM CONTRIBUTE TO CAMBODIAN SOCIETY AND SUCCEED IN A MODERN DIGITAL ECONOMY, AND SUPPORT AN OPEN INTERNET AND FREEDOM OF INFORMATION EXCHANGE IN ORDER TO ENCOURAGE COMPETITION, INNOVATION, AND PROMOTE INTERNATIONAL STANDARDS FOR IT CERTIFICATION IN ORDER TO ADVANCE CAMBODIA’S SELF-RELIANCE IN THE DIGITAL AGE.",485621.0
USAID,2/11/2025,STRENGTHENING INDEPENDENT VOICES IN CAMBODIA,700000.0
USAID,1/25/2025,"MIRSAL IS A NEW FIVE-YEAR ACTIVITY FOCUSED ON STRENGTHENING INFORMATION AND MEDIA INTEGRITY IN LIBYA. THE INITIATIVE IS DESIGNED TO VALUE THE DIVERSITY OF LIBYAN SOCIETY AND EXTEND WHILE ENHANCING THE CAPACITY OF MEDIA PRACTITIONERS AND CONSUMERS IN LIBYA. THE GOAL IS TO NURTURE A LIBYAN MEDIA ECOSYSTEM THAT INCREASINGLY PROMOTES SOCIAL COHESION, WHICH ADDRESSES AND MITIGATES THE CHALLENGES OF INFORMATION MANIPULATION, IN SUPPORT OF A MORE PEACEFUL, UNIFIED LIBYA.",7849533.0
USAID,2/11/2025,HAITI ELECTORAL SECURITY AND SUPPORT PROGRAM (HESSP),13381696.0
USAID,2/11/2025,THE PURPOSE OF THE USAID GABON DEMOCRATIC FOUNDATIONS IS TO SUPPORT AN INCLUSIVE AND PARTICIPATORY TRANSITION TO DEMOCRATIC GOVERNANCE IN GABON,3100000.0
USAID,2/11/2025,"THE GOAL OF THE ILTIZAM IS TO SUPPORT MOROCCO’S OPEN GOVERNMENT PARTNERSHIP (OGP) AGENDA BY ENABLING CIVIL SOCIETY TO ENGAGE EFFECTIVELY WITH KEY GOVERNMENT DECISION MAKERS AND PURSUE INNOVATIONS THAT ADVANCE LOCAL PRIORITIES FOR STRONG, TRANSPARENT, AND OPEN GOVERNMENT, TO ULTIMATELY IMPROVE THE LIVES OF MARGINALIZED MOROCCANS.",0.0
USAID,2/11/2025,STRENGTHENING KENYA’S ELECTORAL INTEGRITY (SKEI),0.0
USAID,2/11/2025,NONE.,1736328.0
USAID,2/11/2025,"THE COMMUNITY RESILIENCE THROUGH DIALOGUE AND ART (CORDIAL) ACTIVITY IS TO ENCOURAGE RECONCILIATION IN AREAS AFFECTED BY VIOLENCE DURING THE 2020 PRESIDENTIAL ELECTIONS, PREVENTING FURTHER POLITICAL VIOLENCE DURING THE 2023 AND 2025 ELECTORAL CYCLES IN CDI. THIS PROJECT IS BASED ON USAID PEOPLE-TO-PEOPLE RECONCILIATION APPROACH. THE ACTIVITY WILL PARTNER WITH PEACE AND MONITORING COMMITTEES AND WOMEN’S ASSOCIATIONS TO CONDUCT ARTISTIC AND CULTURAL INITIATIVES THAT WILL PREPARE COMMUNITIES TO ENGAGE IN INTRA- AND INTER-GROUP DIALOGUE TO FOSTER PEACE AND REBUILD FRACTURED RELATIONSHIPS. NDI WILL REINFORCE NEW AND EXISTING LOCAL CONFLICT RESOLUTIONS MECHANISMS TO REDUCE, MITIGATE, AND RESOLVE INTERGROUP CONFLICTS AND GRIEVANCES IDENTIFIED IN THESE DIALOGUES.",600000.0
USAID,2/11/2025,"THE GOAL OF THE SIECLE ACTIVITY IS TO THAT INCREASE TRUST AMONG ELECTION STAKEHOLDERS AND CONTRIBUTE TO MORE PARTICIPATORY AND RESPONSIVE GOVERNANCE IN CÔTE D’IVOIRE. THE ACTIVITY AIMS TO BUILD ON PAST USAID/COTE D'IVOIRE PROGRAMMING THAT SUPPORTED ELECTIONS AND POLITICAL PROCESSES, PROMOTED PEACE AND CIVIC ENGAGEMENT, AND REINFORCED WOMEN’S AND YOUTH POLITICAL PARTICIPATION AND LEADERSHIP. THE ACTIVITY WILL ENDEAVOR TO BE ADAPTIVE, INTEGRATED, CONFLICT-SENSITIVE, AND POLITICALLY RELEVANT AS THE OPERATING CONTEXT WILL EVOLVE OVER THE LIFE OF THE AWARD.",8715783.0
USAID,2/11/2025,"THE PURPOSE OF THE PERFORMANCE ACCOUNTABILITY ACTIVITY IS TO DELIVER QUALITY PUBLIC SERVICES WITH INCREASED ACCOUNTABILITY AND IT WILL BUILD ON EXISTING GHANAIAN STRATEGIES, PROGRAMS AND CAPACITIES, AND LEVERAGE RELATED SUPPORT BEING PROVIDED BY USAID AND OTHER DONORS TO REINFORCE ONGOING GHANAIAN EFFORTS TO PROMOTE TRANSPARENT, ACCOUNTABLE AND INCLUSIVE GOVERNANCE OVER FIVE YEARS.",7326033.0
USAID,2/11/2025,"THE USAID/GHANA DEMOCRACY RIGHTS AND GOVERNANCE (DRG) OFFICES’ NEW POLITICAL ACCOUNTABILITY ACTIVITY SEEKS TO SUPPORT GHANAIAN CIVIL SOCIETY ORGANIZATIONS AND PLATFORMS TO ADVOCATE FOR A MORE ACCOUNTABLE POLITICAL REGIME, INCLUDING SUPPORT FOR MAYORAL ELECTIONS AND BETTER RESPONSIVENESS OF POLITICAL ACTORS AT THE LOCAL LEVEL; AND ADDRESS ISSUES OF ELECTORAL REFORMS, SEPARATION OF POWERS AND POLITICAL DECENTRALIZATION AS IMPORTANT FACTORS IN THE BID TO STRENGTHEN ACCOUNTABILITY IN GHANA’S POLITICAL SYSTEM.",1398221.0
USAID,2/11/2025,THIS IS TO SUPPORT USAID FUNDED PROMOTING CREDIBLE ELECTIONS IN THE DEMOCRATIC REPUBLIC OF THE CONGO ACTIVITY.,0.0
USAID,2/11/2025,ETHIOPIA ELECTIONS AND POLITICAL PROCESSES ACTIVITY (EEPPA). AN ASSOCIATE AWARD UNDER A LEADER AWARD (7200AA21LE00008) WITH CEPPS,17165251.0
USAID,2/11/2025,"TO STRENGTHEN KEY ELECTORAL INSTITUTIONS, CIVIL SOCIETY ORGANIZATIONS, MEDIA AND ELECTED OFFICIALS IN ORDER TO INCREASE PUBLIC TRUST AND INCLUSIVE PARTICIPATION IN THE POLITICAL PROCESS.",4476621.0
USAID,2/11/2025,CIVIL SOCIETY ACTIVITY,14285056.0
USAID,2/11/2025,IMPROVING ELECTORAL AND POLITICAL PROCESSES FOR CHANGE IN SUDAN PROGRAM(IEPP-SUDAN),13265300.0
USAID,2/11/2025,"EVER WILL IMPROVE THE EFFECTIVENESS OF KEY LIBYAN INSTITUTIONS AND BUILD THE CAPACITY OF A DIVERSE SET OF LIBYAN ACTORS TO ADVANCE THE DEMOCRATIC POLITICAL TRANSITION, INCLUDING NATIONAL AND LOCAL ELECTIONS, AND SUPPORT A STRONGER MORE INCLUSIVE DEMOCRATIC CULTURE IN LIBYA.",15100000.0
USAID,2/11/2025,"A GLOBAL DEVELOPMENT ALLIANCE ACTIVITY WORKING WITH A SET OF STAKEHOLDERS—INCLUDING OTHER DONOR ORGANIZATIONS, PRIVATE SECTOR, AND NON-GOVERNMENTAL ORGANIZATIONS—TO ELECTRIFY AND PROVIDE TELECOMMUNICATIONS AT HEALTH FACILITIES IN SUB-SAHARAN AFRICA UNDER AN ACTIVITY REFERRED TO AS HEALTH ELECTRIFICATION AND TELECOMMUNICATIONS ALLIANCE. THE OUTCOMES OF THE HETA ACTIVITY WILL INCLUDE SIGNIFICANT, MEASURABLE IMPROVEMENTS IN THE HEALTH AND WELL-BEING OF COMMUNITIES IN SUB- SAHARAN AFRICA BY DRAWING ON PRIVATE SECTOR CAPACITY AND RESOURCES AND ALIGNING THEM WITH POWER AFRICA AND USAID INVESTMENTS IN AFRICA TO PROVIDE RURAL AND SEMI-RURAL HEALTH FACILITIES WITH CLEAN, RELIABLE ELECTRICITY GENERATION AND INTERNET CONNECTIVITY. IN SOME CASES, THE ELECTRICITY PROVISION COULD ALSO INCLUDE WATER PUMPING AND POTABLE WATER TO THE FACILITIES. THE HETA STAKEHOLDERS WILL WORK TOGETHER WITH USAID TO ADDRESS CHALLENGES THROUGH A MARKET-BASED APPROACH, LEVERAGING THEIR COLLECTIVE TECHNICAL AND FINANCIAL RESOURCES. HETA WILL BE STRUCTURED TO ENSURE LONGEVITY AND SUSTAINABILITY BEYOND THE LIFE OF USAID INVESTMENTS THROUGH THE CREATION OF AN INDEPENDENT SPINOFF. THE ACTIVITY’S MARKET APPROACH TO PROVIDING ELECTRICITY AND TELECOMMUNICATION SERVICES COMES THROUGH EXPANDING MOBILE NETWORKS AND ECONOMIC GROWTH OPPORTUNITIES TO COMMUNITIES WHILE SUPPORTING THE ELECTRIFICATION AND TELECOMMUNICATION OF HEALTH FACILITIES THROUGH AN ENERGY-AS-A-SERVICE MODEL. THE ACTIVITY SEEKS TO ACCELERATE ACCESS TO AFFORDABLE, RELIABLE, AND SUSTAINABLE ENERGY SERVICES BY ELECTRIFYING AND DIGITALLY CONNECTING 10,000 FACILITIES OVER 5 YEARS. TO IMPROVE ACCESS TO POWER AT HEALTH FACILITIES AND ENHANCE THE DELIVERY OF HEALTH SERVICES IN SUB-SAHARAN AFRICA, HETA WILL USE THESE GUIDING PRINCIPLES IN ITS IMPLEMENTATION OF PROGRAM COMPONENTS: 1. STRENGTHEN USAID HEALTH PROGRAM OUTCOMES 2. INCREASE ELECTRICAL CONNECTIONS AND TELECOMMUNICATION CONNECTIVITY AT HEALTH FACILITIES 3. GUARANTEE LONG-TERM OPERATION AND MAINTENANCE OF INSTALLED EQUIPMENT 4. PROMOTE MARKET-BASED SOLUTIONS 5. IMPROVE LOCAL TECHNICAL CAPACITY",14126192.0
USAID,2/11/2025,POLITICAL PARTIES FOR RESILIENT AND INCLUSIVE DEMOCRACIES IN SOUTHERN AFRICA,5500000.0
USAID,2/11/2025,"THE CODE ACTIVITY IS TO FOSTER GREATER TRANSPARENCY, INTEGRITY AND CREDIBILITY OF THE ELECTORAL PROCESS AND ELECTIONS IN GUINEA, IN ORDER TO PROMOTE PEACEFUL ACCEPTANCE OF THE ELECTORAL RESULTS AND DEMOCRATIC STABILITY IN THE COUNTRY, WHILE STRENGTHENING LOCAL CAPACITIES. THE GOAL WILL BE REACHED THROUGH: (A) SUPPORTING DATA DRIVEN DOMESTIC LONG AND SHORT-TERM ELECTORAL OBSERVATION EFFORTS THAT RESPECT INTERNATIONAL STANDARDS AND INCREASE TRUST IN ELECTORAL OUTCOMES; WHILE (B) BUILDING THE CAPACITY OF LOCAL CIVIL SOCIETY ORGANIZATIONS TO MONITOR POLITICAL PROCESSES AND CONDUCT ELECTION OBSERVATION IN THE FUTURE IN GUINEA.",0.0
