Main Agency,Location,Sq_Ft,Saved
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE",0,0.0
SMALL BUSINESS ADMINISTRATION,"LEBANON, NH",959,0.0
DRUG ENFORCEMENT ADMINISTRATION,"YAKIMA, WA",330,0.0
GOVERNMENT ACCOUNTABILITY OFFICE,"SEATTLE, WA",23394,946460.0
SOCIAL SECURITY ADMINISTRATION,"CARLSBAD, CA",3579,0.0
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"JACKSONVILLE, FL",1155,6904.0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MILWAUKEE, WI",7322,0.0
General Services Administration,"MIDDLEBURG HEIGHTS, OH",1000,0.0
DHS UNITED STATES SECRET SERVICE,"LOS ANGELES, CA",1200,0.0
General Services Administration,"LOS ANGELES, CA",16439,0.0
PUBLIC DEFENDER SERVICE,"PHOENIX, AZ",46567,0.0
General Services Administration,"PHOENIX, AZ",2193,221199.0
General Services Administration,"BREA, CA",2551,0.0
RISK MANAGEMENT AGENCY (RMA),"TOPEKA, KS",5560,964396.0
DHS TRANSPORTATION SECURITY ADMINISTRATION,"ABILENE, TX",4998,0.0
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"AUSTIN, TX",0,23240.0
UNITED STATES TRUSTEES,"DAYTON, OH",2257,0.0
"EMPLOY. AND TRAIN. ADMIN., BUR. OF APPRENTICESHIP AND T","DAVENPORT, IA",351,20376.0
UNITED STATES FISH AND WILDLIFE SERVICE,"MADISON, WI",2871,290709.0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"AKRON, OH",3201,0.0
NATIONAL LABOR RELATIONS BOARD,"BIRMINGHAM, AL",3853,227725.0
"CORPS OF ENGINEERS, CIVIL","MOBILE, AL",23860,0.0
VETERANS BENEFITS ADMINISTRATION,"LAS CRUCES, NM",1120,6777.0
DRUG ENFORCEMENT ADMINISTRATION,"NORTH ANDOVER CENTER, MA",5300,67470.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","FAYETTEVILLE, AR",440,0.0
General Services Administration,"ALBUQUERQUE, NM",5624,330975.0
FOOD AND DRUG ADMINISTRATION,"ATLANTA, GA",17000,0.0
SOCIAL SECURITY ADMINISTRATION,"ROANOKE RAPIDS, NC",982,0.0
RURAL HOUSING SERVICE,"BATESVILLE, AR",3403,0.0
NATURAL RESOURCES CONSERVATION SERVICE,"BATESVILLE, AR",1470,0.0
FARM SERVICE AGENCY - COUNTY,"BATESVILLE, AR",2891,43365.0
SOCIAL SECURITY ADMINISTRATION,"BATESVILLE, AR",1934,0.0
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, OH",3999,0.0
SOCIAL SECURITY ADMINISTRATION,"OKEMOS, MI",4276,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"BROKEN BOW, OK",2325,58673.0
SOCIAL SECURITY ADMINISTRATION,"NACOGDOCHES, TX",1717,86414.0
BUREAU OF INDIAN AFFAIRS,"CARNEGIE, OK",0,6063.0
NATIONAL ARCHIVES CENTERS,"FAIRFIELD, OH",124569,39851.0
BANKRUPTCY CLERK,"COLUMBUS, OH",61371,0.0
PROBATION,"TOLEDO, OH",6834,0.0
SOCIAL SECURITY ADMINISTRATION,"GREEN BAY, WI",976,0.0
GEOLOGICAL SURVEY,"EL PASO, TX",3409,0.0
GEOLOGICAL SURVEY,"MENLO PARK, CA",20000,0.0
NATIONAL ARCHIVES CENTERS,"HOFFMAN ESTATES, IL",73573,740457.0
General Services Administration,"HOUSTON, TX",555,67734.0
General Services Administration,"MCALLEN, TX",2597,258439.0
General Services Administration,"BROWNSVILLE, TX",748,91437.0
GEOLOGICAL SURVEY,"SANTA MARIA, CA",6440,237027.0
General Services Administration,"WASHINGTON, DC",30193,0.0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"BUFFALO, NY",18163,0.0
NATIONAL LABOR RELATIONS BOARD,"BUFFALO, NY",37644,0.0
General Services Administration,"WASHINGTON, DC",17593,0.0
General Services Administration,"WASHINGTON, DC",2061,0.0
DHS UNITED STATES SECRET SERVICE,"WASHINGTON, DC",0,0.0
SOCIAL SECURITY ADMINISTRATION,"LAS VEGAS, NV",1895,16352.0
ENVIRONMENTAL PROTECTION AGENCY,"CHARLOTTE AMALIE, VI",1277,0.0
General Services Administration,"AUBURN, CA",1228,62051.0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MERRILL, WI",393,6067.0
General Services Administration,"WASHINGTON, DC",66390,0.0
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"WASHINGTON, DC",59681,0.0
General Services Administration,"LORTON, VA",15280,0.0
FEDERAL TRADE COMMISSION,"ATLANTA, GA",8360,0.0
FEDERAL TRADE COMMISSION,"WASHINGTON, DC",259130,0.0
DHS-CBP FIELD OPERATIONS FACILITIES,"CHATTANOOGA, TN",1023,0.0
ALLOWANCE TO FORMER PRESIDENTS,"ATLANTA, GA",7682,544991.0
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"ST. LOUIS, MO",3392,0.0
,"FOLSOM, CA",1330,78417.0
,"RENSSELAER, NY",115,0.0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"SAINT AUGUSTINE, FL",4045,0.0
MINE SAFETY HEALTH ADMINISTRATION,"CRAIG, CO",4328,0.0
SOCIAL SECURITY ADMINISTRATION,"ROCKFORD, IL",1743,61280.0
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"ROCK ISLAND, IL",10895,192352.0
FEDERAL BUREAU OF INVESTIGATION,"ST. JOSEPH, MO",1449,0.0
MINE SAFETY HEALTH ADMINISTRATION,"ARLINGTON, VA",88469,0.0
,"SILVER SPRING, MD",64471,0.0
,"DERWOOD, MD",29744,0.0
"FAS, REG 01 FLEET MANAGEMENT FACILITIES","HARTFORD, CT",0,23100.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"SAN JOSE, CA",5736,1174681.0
NATURAL RESOURCES CONSERVATION SERVICE,"YREKA, CA",6242,126132.0
FARM SERVICE AGENCY - COUNTY,"WATERTOWN, SD",7869,278049.0
BUREAU OF INDIAN AFFAIRS,"ST. GEORGE, UT",750,252000.0
"FAS, REG 08 FLEET MANAGEMENT FACILITIES","BISMARCK, ND",0,2520.0
FARM SERVICE AGENCY- STATE,"FARGO, ND",14800,0.0
FEDERAL MEDIATION AND CONCILIATION SERVICE,"COLLIERVILLE, TN",2190,137149.0
SOCIAL SECURITY ADMINISTRATION,"HORSEHEADS, NY",11400,0.0
BORDER PATROL FACILITIES,"SHELBY, MT",16292,0.0
AGRICULTURAL MARKETING SERVICE,"PORTLAND, OR",5485,0.0
FEDERAL MEDIATION AND CONCILIATION SERVICE,"ST. LOUIS, MO",4237,337219.0
SMALL BUSINESS ADMINISTRATION,"MELBOURNE, FL",570,0.0
SMALL BUSINESS ADMINISTRATION,"CHICO, CA",315,0.0
SOCIAL SECURITY ADMINISTRATION,"ANNISTON, AL",12926,608457.0
BUR OF INDUSTRY & SECURITY,"HERNDON, VA",4539,0.0
FEDERAL MEDIATION AND CONCILIATION SERVICE,"BUFFALO, NY",2178,0.0
DEPARTMENT OF AIR FORCE,"NORTH CHARLESTON, SC",75000,0.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"MOBILE, AL",5118,243958.0
SOCIAL SECURITY ADMINISTRATION,"GADSDEN, AL",1450,67410.0
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, GA",1632,25512.0
GEOLOGICAL SURVEY,"BOULDER, CO",3830,0.0
UNITED STATES MARSHALS SERVICE,"OXFORD, MS",600,16149.0
NATURAL RESOURCES CONSERVATION SERVICE,"PEARL, MS",7161,0.0
SAVANNAH RIVER OPERATIONS OFFICE,"AIKEN, SC",2250,200568.0
FARM SERVICE AGENCY- STATE,"LEXINGTON-FAYETTE, KY",39235,917195.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"GREENSBORO, NC",5846,348390.0
NATURAL RESOURCES CONSERVATION SERVICE,"GREENSBORO, NC",30123,2376707.0
SOCIAL SECURITY ADMINISTRATION,"HAZARD, KY",1652,3169.0
SMALL BUSINESS ADMINISTRATION,"LEXINGTON-FAYETTE, KY",1200,15143.0
SOCIAL SECURITY ADMINISTRATION,"MELBOURNE, FL",1415,263660.0
NATIONAL PARK SERVICE,"LOWELL, MA",3900,149509.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"LOWELL, MA",36752,0.0
SOCIAL SECURITY ADMINISTRATION,"ABILENE, TX",1342,39391.0
AGRICULTURAL MARKETING SERVICE,"LITTLE ROCK, AR",3974,0.0
"BUR OF ALCOHOL,TOBACCO,FIREARMS & EXPLOSIVES","RALEIGH, NC",5287,0.0
AGRICULTURAL MARKETING SERVICE,"IDAHO FALLS, ID",1920,223657.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEWARD, AK",922,24554.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"JUNEAU, AK",1595,1710.0
NATURAL RESOURCES CONSERVATION SERVICE,"AMHERST, MA",22428,80687.0
NATURAL RESOURCES CONSERVATION SERVICE,"ST. JOHNSBURY, VT",5712,160092.0
RURAL HOUSING SERVICE,"PALMER, AK",19716,2839785.0
SMALL BUSINESS ADMINISTRATION,"SHOW LOW, AZ",460,6424.0
RAILROAD RETIREMENT BOARD,"MESA, AZ",1946,43136.0
BUREAU OF INDIAN AFFAIRS,"FREDONIA, AZ",1500,0.0
INDIAN HEALTH SERVICE-CALIFORNIA,"ARCATA, CA",1492,58602.0
OFFICE OF ADMINISTRATIVE LAW JUDGES,"NEW LONDON, CT",1303,104330.0
ENVIRONMENTAL PROTECTION AGENCY,"STAMFORD, CT",1380,308496.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"SUTTON, MA",1273,67109.0
AGRICULTURAL MARKETING SERVICE,"JESSUP, MD",1160,91443.0
OFFICE OF INSPECTOR GENERAL,"VENTNOR CITY, NJ",1018,235411.0
INDIAN HEALTH SERVICE NAVAJO,"FARMINGTON, NM",2000,485746.0
OFFICE OF SURFACE MINING AND REGULATION ENFORCEMENT,"TULSA, OK",41676,6340888.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","STATE COLLEGE, PA",443,45491.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","HARLINGEN, TX",612,15310.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"UVALDE, TX",920,58538.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"HAMPTON, VA",911,5963.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEFFNER, FL",1525,7285.0
NATURAL RESOURCES CONSERVATION SERVICE,"OXNARD, CA",1209,75189.0
DEPARTMENTAL MANAGEMENT (IG),"RALEIGH, NC",2324,74850.0
SMALL BUSINESS ADMINISTRATION,"GREENSBORO, NC",648,14571.0
SOCIAL SECURITY ADMINISTRATION,"TEXARKANA, AR",1436,36328.0
"CORPS OF ENGINEERS, CIVIL","WILMINGTON, NC",4349,83934.0
SOCIAL SECURITY ADMINISTRATION,"JONESBORO, AR",2340,194995.0
NATURAL RESOURCES CONSERVATION SERVICE,"FAIRBANKS, AK",4446,84054.0
NATURAL RESOURCES CONSERVATION SERVICE,"WASILLA, AK",4200,562242.0
FEDERAL HIGHWAY ADMINISTRATION,"BOISE, ID",5179,1019271.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"IDAHO FALLS, ID",13681,488290.0
FEDERAL HIGHWAY ADMINISTRATION,"SALEM, OR",6589,924916.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"SALEM, OR",2200,283555.0
BUREAU OF RECLAMATION,"BEND, OR",3386,725888.0
GEOLOGICAL SURVEY,"CORVALLIS, OR",6849,1414992.0
NATURAL RESOURCES CONSERVATION SERVICE,"PUYALLUP, WA",2930,298336.0
OFFICE OF LABOR MANAGEMENT STANDARDS,"CINCINNATI, OH",4449,145145.0
NATURAL RESOURCES CONSERVATION SERVICE,"DAYTON, WA",4320,3445.0
FARM SERVICE AGENCY - COUNTY,"HENDERSONVILLE, NC",5358,0.0
NATURAL RESOURCES CONSERVATION SERVICE,"RATON, NM",2166,0.0
NATURAL RESOURCES CONSERVATION SERVICE,"LINCOLN, NE",10471,62816.0
NATIONAL LABOR RELATIONS BOARD,"OVERLAND PARK, KS",11057,75239.0
SOCIAL SECURITY ADMINISTRATION,"NASHVILLE, TN",4133,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"FALMOUTH, ME",2999,247157.0
NATURAL RESOURCES CONSERVATION SERVICE,"LAWRENCE, KS",4846,70064.0
BUREAU OF INDIAN AFFAIRS,"PAWNEE, OK",7549,156171.0
BUREAU OF INDIAN AFFAIRS,"SEMINOLE, OK",9825,184770.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"OKLAHOMA CITY, OK",6401,155873.0
FOREST SERVICE,"MESA, AZ",7500,355950.0
BUREAU OF MINERALS MANAGEMENT SERVICE,"NEW ORLEANS, LA",970,20370.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SAN ANTONIO, TX",5036,161294.0
INDIAN HEALTH SERVICE-BEMIDJI,"BEMIDJI, MN",4896,178554.0
DEPT OF TREASURY-BUREAU OF THE FISCAL SERVICE,"HYATTSVILLE, MD",76372,4239635.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"KNOXVILLE, TN",3703,109816.0
GEOLOGICAL SURVEY,"SAN ANGELO, TX",7510,192214.0
BUREAU OF INDIAN AFFAIRS,"WATONGA, OK",2850,61074.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"EL PASO, TX",7973,296960.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"OKLAHOMA CITY, OK",1609,40225.0
FEDERAL TRANSIT ADMINISTRATION,"CHICAGO, IL",13531,943641.0
BUREAU OF MINERALS MANAGEMENT SERVICE,"HOUMA, LA",13865,858919.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"GLADSTONE, MO",1378,61966.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","LONGVIEW, TX",320,11052.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"HOUSTON, TX",2520,132687.0
FARM SERVICE AGENCY - COUNTY,"PARAGOULD, AR",4900,210172.0
NATURAL RESOURCES CONSERVATION SERVICE,"CONWAY, AR",5171,255077.0
NATIONAL PARK SERVICE,"SAN ANTONIO, TX",14478,902473.0
FOREST SERVICE,"ALBUQUERQUE, NM",22216,1681950.0
BUREAU OF RECLAMATION,"BOISE, ID",79869,18475055.0
UNITED STATES FISH AND WILDLIFE SERVICE,"GRAND JUNCTION, CO",1444,106209.0
BUREAU OF INDIAN AFFAIRS,"PABLO, MT",620,868.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"HELENA, MT",1810,22895.0
BUREAU OF INDIAN AFFAIRS,"RAPID CITY, SD",1825,4493.0
OFFICE OF THE SECRETARY,"SIOUX FALLS, SD",2553,164102.0
FARM SERVICE AGENCY - COUNTY,"MONTICELLO, UT",4233,104820.0
"FED ACQUISITION SRVC REG 04, FLEET MGMT FACILITIES","COCOA, FL",1088,25614.0
FOOD AND DRUG ADMINISTRATION,"DAVENPORT, IA",695,36936.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"BOISE, ID",44623,0.0
RAILROAD RETIREMENT BOARD,"JOLIET, IL",1397,2980.0
FEDERAL ENERGY REGULATORY COMMISSION,"CARMEL, IN",247,11897.0
RAILROAD RETIREMENT BOARD,"WICHITA, KS",1290,78405.0
SMALL BUSINESS ADMINISTRATION,"SPRINGFIELD, MA",894,61686.0
AGRICULTURAL MARKETING SERVICE,"EVERETT, MA",2789,383972.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"OXFORD, MS",1630,13649.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SALEM, OR",236,670.0
RURAL HOUSING SERVICE,"HARRISBURG, PA",34467,119066.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"NASHVILLE, TN",1540,82775.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","RALEIGH, NC",5641,480785.0
SMALL BUSINESS ADMINISTRATION,"WILMINGTON, DE",3390,141195.0
GEOLOGICAL SURVEY,"DOVER, DE",5724,149777.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","BALTIMORE, MD",9139,593074.0
GEOLOGICAL SURVEY,"HURON, SD",10882,422504.0
DEPARTMENT OF LABOR,"SIOUX FALLS, SD",2638,79567.0
UNITED STATES FISH AND WILDLIFE SERVICE,"BISMARCK, ND",21372,357594.0
BUREAU OF INDIAN AFFAIRS,"FORT THOMPSON, SD",4870,137610.0
BUREAU OF INDIAN AFFAIRS,"SISSETON, SD",4911,0.0
MINE SAFETY HEALTH ADMINISTRATION,"GREEN RIVER, WY",2297,55322.0
FEDERAL HIGHWAY ADMINISTRATION,"LOS ANGELES, CA",7100,549474.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"RICHMOND, VA",2986,91909.0
NATIONAL PARK SERVICE,"MARTINSBURG, WV",2230,62811.0
NATURAL RESOURCES CONSERVATION SERVICE,"DOVER, NH",6988,11358.0
UNITED STATES TRUSTEES,"LITTLE ROCK, AR",6779,49976.0
NATIONAL PARK SERVICE,"HARRISON, AR",22680,601073.0
NATIONAL PARK SERVICE,"CAMP VERDE, AZ",2300,0.0
UNITED STATES FISH AND WILDLIFE SERVICE,"TUCSON, AZ",4791,705585.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"PHOENIX, AZ",99880,9999756.0
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"NOGALES, AZ",2506,108539.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"PHOENIX, AZ",22915,1311821.0
FOREST SERVICE,"PHOENIX, AZ",32162,1439364.0
NATURAL RESOURCES CONSERVATION SERVICE,"YUMA, AZ",4541,381959.0
"EMPLOY. STANDARDS ADMIN., OFC OF CONTRACT COMPLIANCE PR","SAN DIEGO, CA",6850,56510.0
BUR OF INDUSTRY & SECURITY,"IRVINE, CA",13775,796462.0
BUREAU OF RECLAMATION,"WEAVERVILLE, CA",4980,0.0
ENVIRONMENTAL PROTECTION AGENCY,"LOS ANGELES, CA",13541,1383348.0
NATIONAL PARK SERVICE,"VENTURA, CA",10855,220341.0
NATURAL RESOURCES CONSERVATION SERVICE,"WOODLAND, CA",5240,136599.0
GEOLOGICAL SURVEY,"BOULDER, CO",29170,0.0
"CORPS OF ENGINEERS, CIVIL","DURANGO, CO",1245,37997.0
INTERNATIONAL TRADE ADMINISTRATION,"MIDDLETOWN, CT",2730,448686.0
RURAL HOUSING SERVICE,"DOVER, DE",28512,0.0
FOREST SERVICE,"ATLANTA, GA",49617,2799539.0
UNITED STATES FISH AND WILDLIFE SERVICE,"ATLANTA, GA",35330,738352.0
SMALL BUSINESS ADMINISTRATION,"ATLANTA, GA",27526,634642.0
FEDERAL ENERGY REGULATORY COMMISSION,"DULUTH, GA",8574,553023.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"SAVANNAH, GA",4606,407246.0
GEOLOGICAL SURVEY,"NORCROSS, GA",38395,1350938.0
NATURAL RESOURCES CONSERVATION SERVICE,"GRIFFIN, GA",3772,0.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"HILO, HI",4638,150692.0
FEDERAL HIGHWAY ADMINISTRATION,"AMES, IA",10056,847080.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"NAPERVILLE, IL",4787,424916.0
DEPARTMENTAL MANAGEMENT (IG),"SPRINGFIELD, IL",3253,47886.0
SECURITIES AND EXCHANGE COMMISSION,"CHICAGO, IL",81492,3903413.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"TINLEY PARK, IL",7010,358924.0
UNITED STATES TRUSTEES,"PEORIA, IL",5898,161938.0
SMALL BUSINESS ADMINISTRATION,"SPRINGFIELD, IL",2022,40548.0
FOOD AND DRUG ADMINISTRATION,"SOUTH BEND, IN",1734,11977.0
OFFICE OF THE SECRETARY,"FISHERS, IN",2850,22144.0
OFFICE OF THE SECRETARY,"KANSAS CITY, KS",69437,2053474.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"OVERLAND PARK, KS",2014,143755.0
FEDERAL HIGHWAY ADMINISTRATION,"TOPEKA, KS",6572,11245.0
UNITED STATES FISH AND WILDLIFE SERVICE,"MANHATTAN, KS",6932,82389.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"TOPEKA, KS",10187,289898.0
FOOD AND DRUG ADMINISTRATION,"WICHITA, KS",1700,74200.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"KANSAS CITY, KS",14046,557722.0
OFFICE OF SURFACE MINING AND REGULATION ENFORCEMENT,"LEXINGTON-FAYETTE, KY",9600,557432.0
MINE SAFETY HEALTH ADMINISTRATION,"BARBOURVILLE, KY",17709,370008.0
MINE SAFETY HEALTH ADMINISTRATION,"BEAVER DAM, KY",2814,169089.0
MINE SAFETY HEALTH ADMINISTRATION,"HAZARD, KY",8836,294613.0
MINE SAFETY HEALTH ADMINISTRATION,"PRESTONSBURG, KY",7378,453865.0
MINE SAFETY HEALTH ADMINISTRATION,"MADISONVILLE, KY",22362,657114.0
MINE SAFETY HEALTH ADMINISTRATION,"HARLAN, KY",7342,382777.0
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"BATON ROUGE, LA",8041,109346.0
NATIONAL PARK SERVICE,"NEW ORLEANS, LA",2139,297208.0
GEOLOGICAL SURVEY,"NORTHBOROUGH, MA",20893,1494720.0
FOOD AND DRUG ADMINISTRATION,"BOYLSTON, MA",2360,98610.0
UNITED STATES FISH AND WILDLIFE SERVICE,"HADLEY, MA",72220,11531053.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"BALTIMORE, MD",3404,146859.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SALISBURY, MD",826,2720.0
INDIAN HEALTH SERVICE-BEMIDJI,"TRAVERSE CITY, MI",798,50117.0
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"SOUTH ST PAUL, MN",2489,32210.0
FARM SERVICE AGENCY - COUNTY,"BAUDETTE, MN",2081,0.0
DEPARTMENT OF EDUCATION,"KANSAS CITY, MO",47639,1359611.0
UNITED STATES FISH AND WILDLIFE SERVICE,"COLUMBIA, MO",15011,839446.0
FEDERAL HIGHWAY ADMINISTRATION,"JEFFERSON CITY, MO",6440,27944.0
UNITED STATES FISH AND WILDLIFE SERVICE,"GREAT FALLS, MT",3310,36787.0
NATURAL RESOURCES CONSERVATION SERVICE,"GOLDSBORO, NC",5881,160675.0
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"RALEIGH, NC",10397,612666.0
FARM SERVICE AGENCY - COUNTY,"WILKESBORO, NC",5970,0.0
GEOLOGICAL SURVEY,"CHARLOTTE, NC",5316,0.0
NATURAL RESOURCES CONSERVATION SERVICE,"FARGO, ND",8834,893967.0
GEOLOGICAL SURVEY,"SUNCOOK, PEMBROKE, NH",12560,665782.0
MINE SAFETY HEALTH ADMINISTRATION,"PORTSMOUTH, NH",3161,223487.0
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","MANCHESTER, NH",3201,229954.0
INTERNATIONAL TRADE ADMINISTRATION,"PORTSMOUTH, NH",1099,46720.0
FEDERAL HIGHWAY ADMINISTRATION,"EWING TOWNSHIP, NJ",7646,414449.0
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"NORTHFIELD, NJ",1035,43898.0
BUREAU OF INDIAN AFFAIRS,"ZUNI, NM",2117,19909.0
NATIONAL PARK SERVICE,"GRANTS, NM",9574,124582.0
INDIAN HEALTH SERVICE NAVAJO,"GALLUP, NM",20287,3144654.0
NATURAL RESOURCES CONSERVATION SERVICE,"GALLUP, NM",2499,412590.0
FARM SERVICE AGENCY - COUNTY,"CLOVIS, NM",6590,962236.0
BUREAU OF INDIAN AFFAIRS,"ELKO, NV",4760,257402.0
FEDERAL TRADE COMMISSION,"CLEVELAND, OH",9340,85762.0
UNITED STATES FISH AND WILDLIFE SERVICE,"GAHANNA, OH",5292,339468.0
GEOLOGICAL SURVEY,"COLUMBUS, OH",20338,1614508.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"MANSFIELD, OH",3738,0.0
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"CLEVELAND, OH",18996,0.0
GEOLOGICAL SURVEY,"KLAMATH FALLS, OR",8913,0.0
GEOLOGICAL SURVEY,"NEW CUMBERLAND, PA",30279,454138.0
UNITED STATES FISH AND WILDLIFE SERVICE,"STATE COLLEGE, PA",6700,823748.0
SECURITIES AND EXCHANGE COMMISSION,"PHILADELPHIA, PA",44765,4257967.0
DEPARTMENT OF EDUCATION,"PHILADELPHIA, PA",42995,1115051.0
GEOLOGICAL SURVEY,"WILLIAMSPORT, PA",4839,140398.0
RAILROAD RETIREMENT BOARD,"SCRANTON, PA",1250,70133.0
GEOLOGICAL SURVEY,"DOWNINGTOWN, PA",5452,223098.0
