Agency,Description,Uploaded On,Link,Saved
Commodity Futures Trading Commission,Strategic Program Management and Communications,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0057&modNumber=P00002&idvAgencyID=&idvPIID=9523ZY24A0002&contractType=AWARD,0.0
Commodity Futures Trading Commission,Personnel/Physical Security Support Services,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY22C0010&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,769663.0
Commodity Futures Trading Commission,Renew the annual subscription to CQ for 30 users in accordance with Section I - Statement of Work (SOW).,3/5/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY24F0025&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,119868.0
Commodity Futures Trading Commission,ONLINE SUBSCRIPTION TO MLEX FOR FINANCIAL SERVICES REGULATION AND DIGITAL RISK FOR UP TO 200 USERS,3/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9507&PIID=9523ZY21P0045&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,23672.0
Consumer Financial Protection Bureau,OMWI Training Support - Psychological Safety - Termination,1/29/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0009&modNumber=P00001&idvAgencyID=&idvPIID=47QSEA21D004D&contractType=IDV,9999999.0
Consumer Financial Protection Bureau,OMWI Training Support - DEIA Training Termination,1/29/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24A0008&modNumber=P00001&idvAgencyID=&idvPIID=47QRAA20D003C&contractType=IDV,9999999.0
Consumer Financial Protection Bureau,BLOOMBERG GOVERNMENT SUBSCRIPTIONS - EXERCISE OPTION PERIOD 1 AND ADD JAWAD SYEDAIN AS ACOR.,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0100&modNumber=P00002&idvAgencyID=&idvPIID=03310319D0026&contractType=AWARD,584172.0
Consumer Financial Protection Bureau,POLITICO PRO,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0012&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,522660.0
Consumer Financial Protection Bureau,CQ ROLLCALL,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0039&modNumber=P00001&idvAgencyID=&idvPIID=03310323D0031&contractType=AWARD,242950.0
Consumer Financial Protection Bureau,CQ ROLL CALL SUBSCRIPTION - TERMINATION FOR CONVENIENCE,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20F0046&modNumber=P00008&idvAgencyID=&idvPIID=03310318DL19C0008&contractType=AWARD,0.0
Consumer Financial Protection Bureau,WALL STREET JOURNAL SBSCRIPTION,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0017&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,176665.0
Consumer Financial Protection Bureau,BLOOMBERG TERMINALS - TERMINATION FOR CONVENIENCE,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,148350.0
Consumer Financial Protection Bureau,WASHINGTON POST SUBSCRIPTION,2/11/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25P0014&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,103398.0
Consumer Financial Protection Bureau,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SAFEGUARDS AND RISK MANAGEMENT (SRM),2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00002&modNumber=P00006&idvAgencyID=&idvPIID=20343023A00006&contractType=AWARD,1863492.0
Consumer Financial Protection Bureau,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SECURITY ARCHITECTURE AND ENGINEERING (SAE),2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD,1917787.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV,0.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV,0.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV,0.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV,0.0
Consumer Financial Protection Bureau,RESEARCH AND EVALUATION SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV,0.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV,0.0
Consumer Financial Protection Bureau,EVALUATION AND RESEARCH SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV,0.0
Consumer Financial Protection Bureau,CONTRACTOR SUPPORT SERVICES FOR EDITORIAL SUPPORT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,592043.0
Consumer Financial Protection Bureau,508 SUPPORT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,732081.0
Consumer Financial Protection Bureau,CYBERSECURITY SUPPORT SERVICES - INFORMATION SECURITY STANDARDS (ISS),2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD,1022444.0
Consumer Financial Protection Bureau,IT RESEARCH & ADVISORY SUBSCRIPTIONS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,434348.0
Consumer Financial Protection Bureau,ECONOMIC ANAYSIS EXPERT SUPPORT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,596513.0
Consumer Financial Protection Bureau,WESTLAW EDGE LEGAL DATABASE SUBSCRIPTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00008&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,0.0
Consumer Financial Protection Bureau,AMERICAN BANKERS ASSOCIATION TRAINING SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00005&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV,0.0
Consumer Financial Protection Bureau,AUTO-LOAN-SERVICING EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0007&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,387161.0
Consumer Financial Protection Bureau,EXPERT WITNESS AND TESTING SERVICES BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00007&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV,0.0
Consumer Financial Protection Bureau,EXPERT WITNESS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0025&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,409991.0
Consumer Financial Protection Bureau,TABLEAU LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0076&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,CONSUMER SURVEY - PILOT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0071&modNumber=P00005&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD,135710.0
Consumer Financial Protection Bureau,EXPERIAN VELOCITY,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,186750.0
Consumer Financial Protection Bureau,CONSUMER CREDIT INFORMATION PANEL IDIQ CONTRACT - AUTO LOAN SURVEY,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,899985.0
Consumer Financial Protection Bureau,NEW EXPERT WITNESS CONTRACT - RESEARCH FIRM,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,409633.0
Consumer Financial Protection Bureau,"TRANSLATIONS, COMPLIANCE AND QUALITY REVIEW",2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0048&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,87789.0
Consumer Financial Protection Bureau,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,0.0
Consumer Financial Protection Bureau,LITIGATION EXPERT SERVICES FOR CFPB LEGAL DIVISION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0022&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,134051.0
Consumer Financial Protection Bureau,CLEAR INVESTIGATION SOFTWARE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,81582.0
Consumer Financial Protection Bureau,CONSUMER CREDIT INFORMATION PANEL AUTO FINANCE DATA COLLECTION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,0.0
Consumer Financial Protection Bureau,EXPERT CONTRACT - HMDA ANALYSIS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,252781.0
Consumer Financial Protection Bureau,YUBIENTERPRISE COMPLIANCE TIER PLUS PLAN,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NUVOLO IWMS LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,CISCO SMARTNET MAINTENANCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0075&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,RELATIONAL JUNCTION SW RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021C00003&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NEW EXPERT WITNESS CONTRACT - TELEPHONE SURVEYS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,160536.0
Consumer Financial Protection Bureau,IBM I2 ANALYST NOTEBOOK LICENSES AND SOFTWARE SUBSCRIPTION FOR CFPB,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,OFLEO/ENF FORECLOSURE DATA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,MOBILE INTELLIGENCE DATA PLATFORM,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,64200.0
Consumer Financial Protection Bureau,MORTGAGE RATE LOCK DATA,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Consumer Financial Protection Bureau,COMPENSATION AND CONSULTING EXPERT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,135988.0
Consumer Financial Protection Bureau,EXPERT SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,190000.0
Consumer Financial Protection Bureau,ACCURINT GOVERNMENT PLUS LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD,36120.0
Consumer Financial Protection Bureau,LEXISNEXIS LAW 360 SUBSCRIPTION RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00045&modNumber=P00005&idvAgencyID=&idvPIID=03310319D0028&contractType=AWARD,88806.0
Consumer Financial Protection Bureau,VIRTUAL ANONYMOUS WORKSTATION,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0013&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,0.0
Consumer Financial Protection Bureau,AITE GROUP RESEARCH SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00011&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,61057.0
Consumer Financial Protection Bureau,BARRIER ANALYSIS SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0078&modNumber=P00001&idvAgencyID=&idvPIID=9531CB24A0007&contractType=AWARD,85635.0
Consumer Financial Protection Bureau,NEW EXPERT CONTRACT - WEB SURVEYS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0016&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,113890.0
Consumer Financial Protection Bureau,ONSITE & VIRTUAL FEDERAL ACQUISITION TRAINING,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020A00002&modNumber=P00001&idvAgencyID=&idvPIID=GS00F283GA&contractType=IDV,0.0
Consumer Financial Protection Bureau,STUDENT LOAN EXPERT WITNESS/LITIGATION CONSULTANT SERVICES FOR OFFICE OF ENFORCEMENT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19C0009&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,87670.0
Consumer Financial Protection Bureau,PROQUEST DIGITAL CONTENT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00009&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0024&contractType=AWARD,0.0
Consumer Financial Protection Bureau,LEGAL SUPPORT SERVICES - PARALEGAL SERVICES - OCR,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0035&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21D0004&contractType=AWARD,25603.0
Consumer Financial Protection Bureau,ESRI ARCGIS ENTERPRISE LICENSE SUITE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00042&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD60B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NEW EXPERT WITNESS CONTRACT - BEHAVIORAL ECONOMIST,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0010&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,39438.0
Consumer Financial Protection Bureau,TRANSLATION AND INTERPRETATION SERVICES BPA CALL - SUPERVISION EXAMINATIONS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0007&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,135780.0
Consumer Financial Protection Bureau,CITRIX MAINTENANCE RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00019&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA ORDER,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00014&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00001&contractType=AWARD,119805.0
Consumer Financial Protection Bureau,LINKEDIN RECRUITER LICENSES FOR THE OFFICE OF ENFORCEMENT INVESTIGATORS,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00042&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,EXTERNAL TRAINING COURSES - AMA TALENT MANAGEMENT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00016&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0092R&contractType=AWARD,92902.0
Consumer Financial Protection Bureau,ARBITRATION SERVICES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,52300.0
Consumer Financial Protection Bureau,LAWPROSE FY24 ADVANCED LEGAL WRITING & EDITING CLASSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024P00005&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,65370.0
Consumer Financial Protection Bureau,BEYONDTRUST LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00022&modNumber=P00002&idvAgencyID=&idvPIID=NNG15SD09B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,PROVAR LICENSE RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00016&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,ROSETTA STONE CATALYST BRONZE SOFTWARE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00025&modNumber=P00001&idvAgencyID=&idvPIID=47QTCA23D007Q&contractType=AWARD,0.0
Consumer Financial Protection Bureau,MAINTENANCE RENEWAL FOR MATLAB LICENSES,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00043&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC80B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NEW RELIC LICENSE RENEWAL,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00049&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC82B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,DELL POWEREDGE SERVER MAINTENANCE,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00017&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD24B&contractType=AWARD,0.0
Consumer Financial Protection Bureau,NEW EXPERT CONTRACT-GLM-LD,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0023&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,17568.0
Consumer Financial Protection Bureau,TRANSLATION AND INTERPRETATION SERVICES - ENFORCEMENT,2/14/2025,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0071&modNumber=P00002&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,36258.0
