AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE WILL PROVIDE APPROXIMATELY 3,100 SCHOLARSHIPS TO U.S. CITIZEN UNDERGRADUATE STUDENTS OF HIGH FINANCIAL NEED TO STUDY OR INTERN ABROAD.",3/7/2025,219136.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,IIE IS HEREBY AWARDED A FEDERAL AWARD IN CR1 TO SUPPORT THE FY24 HUBERT HUMPHREY FELLOWSHIP PENDING THE AVAILABILITY OF FUNDS. THE FIRST CR EXPIRES ON 11/17/2023.,3/7/2025,312981.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS HEREBY PROVIDED WITH A FEDERAL AWARD TO SUPPORT THE FY24 FULBRIGHT SCHOLAR PROGRAM, PENDING THE AVAILABILITY OF FUNDS. THE FIRST CR EXPIRES ON 11/17/2023.",3/7/2025,711092.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,"IIE IS HEREBY PROVIDED WITH A FEDERAL AWARD TO SUPPORT FOR THE FY24 FULBRIGHT U.S. AND FOREIGN STUDENT PROGRAMS, PENDING THE AVAILABILITY OF FUNDS. THE FIRST CR EXPIRES ON 11/17/2023.",3/7/2025,634576.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION,TO SUPPORT THE FY 2024 BENJAMIN A. GILMAN INTERNATIONAL SCHOLARSHIP PROGRAM,3/7/2025,503322.0
DEPARTMENT OF STATE,COUNCIL ON INTERNATIONAL EDUCATIONAL EXCHANGE INC,CONGRESS-BUNDESTAG YOUTH EXCHANGE (CBYX) PROGRAM,3/7/2025,220000.0
DEPARTMENT OF STATE,COUNCIL ON INTERNATIONAL EDUCATIONAL EXCHANGE INC,THE FLEX PROGRAM PROVIDES EUROPEAN AND EURASIAN STUDENTS BETWEEN THE AGES OF 15 AND 17 WITH THE OPPORTUNITY TO SPEND AN ACADEMIC YEAR LIVING WITH AN AMERICAN FAMILY AND ATTENDING A U.S. HIGH SCHOOL.,3/7/2025,20000.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT AND DEVELOP NEW TALENT FOR THE DEPARTMENT OF STATE FOREIGN SERVICE,3/7/2025,222786.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT AND DEVELOP NEW TALENT FOR THE DEPARTMENT OF STATE FOREIGN SERVICE,3/7/2025,210969.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT DIVERSE TALENT FOR THE USG FOREIGN SERVICE. THIS IS THE FIRST INSTALLMENT.,3/7/2025,332740.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT DIVERSE TALENT FOR THE USG FOREIGN SERVICE. THIS IS THE FIRST INSTALLMENT.,3/7/2025,50083.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT DIVERSE TALENT FOR THE USG FOREIGN SERVICE.,3/7/2025,9462.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT DIVERSE TALENT FOR THE USG FOREIGN SERVICE.,3/7/2025,322.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO RECRUIT DIVERSE TALENT FOR THE USG FOREIGN SERVICE.,3/7/2025,21114.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,DIVERSITY RECRUITMENT PROGRAM TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE U.S. FOREIGN SERVICE.,3/7/2025,22886.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,DIVERSITY RECRUITMENT PROGRAM TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE U.S. FOREIGN SERVICE.,3/7/2025,10399.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,DIVERSITY RECRUITMENT PROGRAM TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,24000.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,DIVERSITY RECRUITMENT PROGRAM TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,38241.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO INCREASING THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,302348.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO INCREASING THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,122457.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,122965.0
DEPARTMENT OF STATE,HOWARD UNIVERSITY,TO INCREASE THE REPRESENTATION OF DIVERSE GROUPS IN THE FOREIGN SERVICE.,3/7/2025,285611.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,Private Non-Profit - Other Special Interest Organization,3/7/2025,30927.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,136913.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,320563.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,155015.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,157340.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,331625.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,534449.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,238194.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,150610.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,115283.0
DEPARTMENT OF STATE,HIAS INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,209785.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,RECRUIT AND DEVELOP NEW AND DIVERSE TALENT TO BE DSS SPECIAL AGENTS IN THE FOREIGN SERVICE,3/7/2025,168000.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,DEVELOP NEW AND DIVERSE TALENT TO BE DSS SPECIAL AGENTS IN THE FOREIGN SERVICE,3/7/2025,66000.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,DEVELOP NEW AND DIVERSE TALENT TO BE DSS SPECIAL AGENTS IN THE FOREIGN SERVICE,3/7/2025,168000.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,RECRUIT AND DEVELOP NEW AND DIVERSE TALENT FOR THE DOS FOREIGN SERVICE,3/7/2025,107250.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,RECRUIT AND DEVELOP NEW AND DIVERSE TALENT FOR THE DOS FOREIGN SERVICE,3/7/2025,152250.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,DEVELOP NEW AND DIVERSE TALENT TO BECOME DSS SPECIAL AGENTS IN THE FOREIGN SERVICE,3/7/2025,58800.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,DEVELOP NEW AND DIVERSE TALENT FOR THE DOS FOREIGN SERVICE,3/7/2025,102050.0
DEPARTMENT OF STATE,THE WASHINGTON CENTER FOR INTERNSHIPS & ACADEMIC SEMINA,DEVELOP NEW AND DIVERSE TALENT FOR THE DOS FOREIGN SERVICE,3/7/2025,141375.0
DEPARTMENT OF STATE,"ASIAN UNIVERSITY FOR WOMEN (AUW) SUPPORT FOUNDATION, IN",Private Non-Profit - Other Special Interest Organization,3/7/2025,868645.0
DEPARTMENT OF STATE,"ASIAN UNIVERSITY FOR WOMEN (AUW) SUPPORT FOUNDATION, IN",Private Non-Profit - Other Special Interest Organization,3/7/2025,986680.0
DEPARTMENT OF STATE,"CHEMONICS INTERNATIONAL, INC.",Private Non-Profit - Other Special Interest Organization,3/7/2025,100000.0
DEPARTMENT OF STATE,"CHEMONICS INTERNATIONAL, INC.",Private Non-Profit - Other Special Interest Organization,3/7/2025,260000.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,Public Non-Profit - Other Social Services Organization,3/7/2025,60512.0
DEPARTMENT OF STATE,Search For Common Ground,Public Non-Profit - Other Social Services Organization,3/7/2025,720020.0
DEPARTMENT OF STATE,Search For Common Ground,Public Non-Profit - Other Social Services Organization,3/7/2025,153812.0
DEPARTMENT OF STATE,Mercy Corps,Private Non-Profit - Other Special Interest Organization,3/7/2025,135533.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,722.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,21662.0
DEPARTMENT OF STATE,INSTITUTE OF INTERNATIONAL EDUCATION INC,Private Non-Profit - Other Special Interest Organization,3/7/2025,15048.0
DEPARTMENT OF STATE,VITAL VOICES GLOBAL PARTNERSHIP INC,Public Non-Profit - Other Special Interest Organization,3/7/2025,144431.0
DEPARTMENT OF STATE,VITAL VOICES GLOBAL PARTNERSHIP INC,Public Non-Profit - Other Special Interest Organization,3/7/2025,28087.0
DEPARTMENT OF STATE,GEORGETOWN UNIVERSITY,"Public Non-Profit - University, College, Jr. College",3/7/2025,22592.0
DEPARTMENT OF STATE,SCHWEIZERISCHE FRIEDENSSTIFTUNG - SWISSPEACE,"Foreign Non-Profit - Research Institution, Foundation, Laboratory",3/7/2025,143194.0
DEPARTMENT OF STATE,SAFERWORLD,Foreign Non-Profit - Other Special Interest Organization,3/7/2025,81377.0
DEPARTMENT OF STATE,SISTER CITIES INTERNATIONAL,"RECRUIT, TRAIN AND DEPLOY YOUTH AMBASSADORS FOR EXPO 2025 OSAKA TO ENHANCE THE GLOBAL AUDIENCE EXPERIENCE AT THE U.S. PAVILION AT THE 2025 OSAKA, JAPAN EXPO, BY SHOWCASING U.S. LEADERSHIP IN INNOVATION FOR THE FUTURE.",3/7/2025,800000.0
DEPARTMENT OF STATE,MERIDIAN INTERNATIONAL CENTER,"SUPPORT AND ENHANCE U.S. PARTICIPATION IN THE 2025 OSAKA, JAPAN EXPO BY EXPOSING A GLOBAL AUDIENCE TO AMERICAN CULTURE THROUGH THE SELECTION AND RECRUITMENT OF LIVE, IN-PERSON RESIDENCY MODEL CULTURAL PERFORMERS AND GUEST SPEAKERS, REPRESENTING THE DIVER",3/7/2025,159154.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNIVERSITY OF ALABAMA,"State - University, College, Jr. College",3/7/2025,1064.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNIVERSITY OF ALABAMA,"State - University, College, Jr. College",3/7/2025,2608.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,GILA RIVER INDIAN COMMUNITY,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,189292.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,GILA RIVER INDIAN COMMUNITY,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,116773.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,AMERICAN PUBLIC HUMAN SERVICES ASSOCIATION,Private Non-Profit - Other Social Services Organization,3/7/2025,134810.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,ARIZONA STATE UNIVERSITY,"State - University, College, Jr. College",3/7/2025,27723.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WAMPANOAG TRIBE OF GAY HEAD,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,21093.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WAMPANOAG TRIBE OF GAY HEAD,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,12212.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,35335.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,12137.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,14897.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,4259.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,117.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,17559.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,437.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,25024.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,28845.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SAINT REGIS MOHAWK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,58943.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,MUSCOGEE (CREEK) NATION,Sponsored Organization - Planning and Administrative Organization,3/7/2025,551755.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,Community Program Center Of Long Island Inc,Private Non-Profit - Other Social Services Organization,3/7/2025,90490.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,Community Program Center Of Long Island Inc,Private Non-Profit - Other Social Services Organization,3/7/2025,26147.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,CINCINNATI-HAMILTON COUNTY COMMUNITY ACTION AGENCY,Private Non-Profit - Community Action Organization,3/7/2025,1867848.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE, INC",County - Other Social Services Organization,3/7/2025,12704.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE, INC",County - Other Social Services Organization,3/7/2025,570.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE, INC",County - Other Social Services Organization,3/7/2025,6282.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"ALLEGAN COUNTY RESOURCE DEVELOPMENT COMMITTEE, INC",County - Other Social Services Organization,3/7/2025,194.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,COMMUNITY ACTION ORGANIZATION,Private Non-Profit - Community Action Organization,3/7/2025,300000.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,MATURA ACTION CORPORATION,Private Non-Profit - Community Action Organization,3/7/2025,47915.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"TRI-COUNTY OPPORTUNITIES COUNCIL, INC",Private Non-Profit - Community Action Organization,3/7/2025,304392.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"YOUTH & FAMILY SERVICES, INC.",Private Non-Profit - Other Social Services Organization,3/7/2025,408093.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"YOUTH & FAMILY SERVICES, INC.",Private Non-Profit - Other Social Services Organization,3/7/2025,53555.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"YOUTH & FAMILY SERVICES, INC.",Private Non-Profit - Other Social Services Organization,3/7/2025,10911.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"YOUTH & FAMILY SERVICES, INC.",Private Non-Profit - Other Social Services Organization,3/7/2025,27606.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"YOUTH & FAMILY SERVICES, INC.",Private Non-Profit - Other Social Services Organization,3/7/2025,19766.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"WILD PLUM CENTER FOR YOUNG CHILDREN AND FAMILIES, INC.",Private Non-Profit - Other Special Interest Organization,3/7/2025,44500.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"WILD PLUM CENTER FOR YOUNG CHILDREN AND FAMILIES, INC.",Private Non-Profit - Other Special Interest Organization,3/7/2025,80500.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION,"State - Research Institution, Foundation, Laboratory",3/7/2025,13351.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION,"State - Research Institution, Foundation, Laboratory",3/7/2025,5071.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LATIN AMERICAN YOUTH CENTER,Private Non-Profit - Community Action Organization,3/7/2025,9167.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LATIN AMERICAN YOUTH CENTER,Private Non-Profit - Community Action Organization,3/7/2025,8519.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LATIN AMERICAN YOUTH CENTER,Private Non-Profit - Community Action Organization,3/7/2025,11326.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LATIN AMERICAN YOUTH CENTER,Private Non-Profit - Community Action Organization,3/7/2025,2684.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LATIN AMERICAN YOUTH CENTER,Private Non-Profit - Community Action Organization,3/7/2025,100628.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,LONG BEACH UNIFIED SCHOOL DISTRICT,City - School Board and School District,3/7/2025,2278049.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,YUROK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,152.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,YUROK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,7312.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,YUROK TRIBE,"Other(Towns,Villages,American Indian Tribe) - Indian Tribal Council",3/7/2025,58209.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNIVERSITY OF KANSAS CENTER FOR RESEARCH INC,"Public Non-Profit - Research Institution, Foundation, Laboratory",3/7/2025,8729.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNIVERSITY OF KANSAS CENTER FOR RESEARCH INC,"Public Non-Profit - Research Institution, Foundation, Laboratory",3/7/2025,40706.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNIVERSITY OF KANSAS CENTER FOR RESEARCH INC,"Public Non-Profit - Research Institution, Foundation, Laboratory",3/7/2025,11674.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"CHOANOKE AREA DEVELOPMENT ASSOCIATION, INC",Public Non-Profit - Community Action Organization,3/7/2025,54819.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,JUDICIARY COURTS OF THE STATE OF MAINE,State - Other Social Services Organization,3/7/2025,4038.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,JUDICIARY COURTS OF THE STATE OF WISCONSIN,State - Other Social Services Organization,3/7/2025,27925.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,JUDICIARY COURTS OF THE STATE OF WISCONSIN,State - Other Social Services Organization,3/7/2025,18090.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,JUDICIARY COURTS OF THE STATE OF NEVADA,State - Other Social Services Organization,3/7/2025,6000.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,CHILD & FAMILY SERVICES,Private Non-Profit - Other Social Services Organization,3/7/2025,37267.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,BROOKLYN CHINESE AMERICAN ASSOCIATION,Private Non-Profit - Other Social Services Organization,3/7/2025,111728.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNITED ACADEMY HEAD START,Private Non-Profit - Other Social Services Organization,3/7/2025,31544.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNITED ACADEMY HEAD START,Private Non-Profit - Other Social Services Organization,3/7/2025,28553.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNITED ACADEMY HEAD START,Private Non-Profit - Other Social Services Organization,3/7/2025,184973.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNITED ACADEMY HEAD START,Private Non-Profit - Other Social Services Organization,3/7/2025,26637.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,UNITED ACADEMY HEAD START,Private Non-Profit - Other Social Services Organization,3/7/2025,37517.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,4929583.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,58173402.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,117363.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,1867600.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,588.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,886405.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",State - Social Services Department,3/7/2025,284257069.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,6211.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,116781.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,1064959.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,58528.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,804436.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,12145.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,13947.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,State - Social Services Department,3/7/2025,3198153.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,California Dept of Public Health,State - Other Health Organization,3/7/2025,94411.0
HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,California Dept of Public Health,State - Other Health Organization,3/7/2025,212.0
