Agency,Recipient,Description,Date,SAVED
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,290592575.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,285723761.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INDIANA STATE DEPARTMENT OF HEALTH,No description available,3/23/2025,262367100.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,TUBERCULOSIS IMPLEMENTATION FRAMEWORK AGREEMENT (TIFA),3/10/2025,239608840.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,238284133.0
USAID,JOINT UNITED NATIONS PROGRAMME ON HIV/AIDS UNAIDS,UNAIDS IV,3/1/2025,237544511.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,220743894.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,212550685.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,181926676.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,180896063.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH RESEARCH, INC.",No description available,3/23/2025,179233991.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,178834839.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, MARYLAND DEPARTMENT OF",No description available,3/23/2025,177168332.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,No description available,3/23/2025,158179048.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AL ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,156991409.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,No description available,3/23/2025,156223438.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,145127130.0
USAID,THE JOHNS HOPKINS UNIVERSITY,"THE PROJECT WILL DEVELOP EFFECTIVE NEW TOOLS AND APPROACHES TO FIND, TREAT AND PREVENT TB, AS WELL AS TESTING NOVEL STRATEGIES FOR IMPLEMENTING THE DELIVERY OF NEW DRUGS AND DIAGNOSTIC PRODUCTS IN REAL-WORLD, LOW RESOURCE SETTINGS.",3/1/2025,142750000.0
US AGENCY FOR GLOBAL MEDIA,Radio Free Europe/Radio Liberty,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINEASTERNEUROPE,3/15/2025,142212000.0
USAID,MAGEE-WOMENS RESEARCH INSTITUTE AND FOUNDATION,MATRIX - MICROBICIDE 2021 R&D PROJECT: ADVANCING THE RESEARCH AND DEVELOPMENT OF INNOVATIVE HIV PREVENTION PRODUCTS FOR WOMEN,3/1/2025,138500000.0
USAID,ANOVA HEALTH INSTITUTE,“ACCELERATING PROGRAM ACHIEVEMENTS TO CONTROL THE EPIDEMIC (APACE) ACTIVITY IN SOUTH AFRICA” WHICH AIMS TO ACCELERATE THE HIV RESPONSE IN GAUTENG PROVINCE (JOHANNESBURG AND SEDIBENG DISTRICTS) AND IN LIMPOPO PROVINCE (CAPRICORN AND MOPANI DISTRICTS).,3/10/2025,138390211.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,127558542.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,121665481.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,117848189.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,114243964.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,112464531.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FL ST DEPT OF HLTH,No description available,3/23/2025,110619713.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,107029296.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,101481748.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FL ST DEPT OF HLTH,No description available,3/23/2025,101174711.0
US AGENCY FOR GLOBAL MEDIA,Middle East Broadcasting Networks,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEMIDDLEEAST,3/15/2025,100000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX DEPT OF STATE HEALTH SERVICES,No description available,3/23/2025,97094095.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"CHICAGO, CITY OF",No description available,3/23/2025,94412426.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,COUNTRY HEALTH INFORMATION SYSTEMS AND DATA USE (CHISU),3/10/2025,94126454.0
DEPARTMENT OF STATE,INTERNATIONAL ORGANIZATION FOR MIGRATION,No description available,2/26/2025,92221735.0
USAID,"CHEMONICS INTERNATIONAL, INC.",PRIORITIZE MARKET IMPROVEMENTS THAT RESULT IN BETTER HEALTH OUTCOMES FOR CONSUMERS IN THE PRIVATE SECTOR,3/1/2025,90990700.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,86327443.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,No description available,3/23/2025,84203979.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,NEW FAO II PIO,3/10/2025,84066298.0
USAID,ENGENDER HEALTH INC,"ACCELERATING CHOICE, EQUITY, AND SUSTAINABILITY FOR SERVICES (ACCESS) PROGRAM - TO STRENGTHEN REPRODUCTIVE EMPOWERMENT, REDUCE MATERNAL MORTALITY, AND IMPROVE HEALTH OUTCOMES AMONG UNDERSERVED POPULATIONS, INCLUDING YOUTH AND MARGINALIZED GROUPS.",3/1/2025,83602846.0
USAID,FAMILY HEALTH INTERNATIONAL,"THIS IS INTENDED TO BE A GLOBAL AWARD DESIGNED TO SCALE UP AND IMPROVE MANAGEMENT OF DRUG RESISTANT TB (DR TB) IN USAID SUPPORTED COUNTRIES. IT WILL FOCUS ON EXPANDING ACCESS TO HIGH QUALITY TREATMENT SERVICES. IN TB PRIORITY AND GLOBAL FUND TECHNICAL ASSISTANCE COUNTRIES, IT WILL PROVIDE SPECIALIZED TECHNICAL ASSISTANCE TO ENHANCE THE QUALITY OF DR-TB PROGRAM AT THE COUNTRY LEVEL.",3/1/2025,83521820.0
USAID,INTERNATIONAL AIDS VACCINE INITIATIVE INC,No description available,3/1/2025,81275739.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,KY ST CABINET FOR HEALTH AND FAMILY SERVICES,No description available,3/23/2025,80482341.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COUNTY OF LOS ANGELES,No description available,3/23/2025,78908293.0
USAID,AGA KHAN FOUNDATION USA,USAID FOREIGN ASSISTANCE FOR PROGRAMS OVERSEAS,3/1/2025,74700000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,74124805.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARKANSAS DEPARTMENT OF HEALTH,No description available,3/23/2025,74068018.0
USAID,FAMILY HEALTH INTERNATIONAL,THE MICROBICIDE 2021 INTRODUCTION AND ACCESS PROJECT,3/1/2025,73943882.0
DEPARTMENT OF AGRICULTURE,Texas Department of Agriculture,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,72567353.11
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,72427680.0
USAID,INSTITUTE OF INTERNATIONAL EDUCATION INC,"ITR/R SOUGHT AN IMPLEMENTING PARTNER TO SOURCE, SUPPORT, AND FUND RESEARCH PARTNERSHIPS BETWEEN LOW- AND MIDDLE-INCOME COUNTRY (LMIC) RESEARCH INSTITUTIONS AND U.S.-BASED INSTITUTIONS ON TOPICS IMPORTANT TO GLOBAL DEVELOPMENT.",3/1/2025,72077871.0
DEPARTMENT OF AGRICULTURE,California Department of Education,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,71499974.05
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,70659363.0
USAID,FAMILY HEALTH INTERNATIONAL,"ENHANCING LOCAL EFFORTS FOR VITAL, TRANSFORMATIVE, AND EVIDENCE- BASED NUTRITION (ELEVATE NUTRITION)TO PROVIDE INCREASED AVAILABILITY AND USE OF PROVEN NUTRITION INTERVENTIONS, INCLUDING THE PROMOTION OF IMPROVED NUTRITION PRACTICES, POPULATION-BASED NUTRITION SERVICE DELIVERY, AND IMPROVING THE ENABLING ENVIRONMENT AND CAPACITY FOR NUTRITION AT THE LOCAL LEVEL.",3/1/2025,70445767.0
USAID,ARIZONA STATE UNIVERSITY,YOUNG AFRICAN LEADERS INITIATIVE (YALI) LEGACY AND LOCALIZATION ACTIVITY,3/10/2025,70000000.0
USAID,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",THE OBJECTIVE OF THIS COOPERATIVE AGREEMENT IS TO SUPPORT THE RECIPIENT TO ADDRESS MULTIPLE GAPS WITHIN USAID AS WELL AS IN THE BROADER EVIDENCE ECOSYSTEM.,3/1/2025,69426762.0
USAID,TRUSTEE OF TUFTS COLLEGE,"GOAL: TO ENHANCE THE CAPACITY OF LOCAL, NATIONAL AND REGIONAL INSTITUTIONS TO UNDERSTAND THE SPILLOVER ECOSYSTEM (SE) AND TO USE EXISTING AND NEW EVIDENCE TO ADVANCE, DEPLOY, AND ASSESS INTERVENTIONS TO REDUCE THE SPILLOVER OF EMERGING ZOONOTIC VIRUSES AT HIGH-RISK ANIMAL-HUMAN INTERFACES WHILE REDUCING AMPLIFICATION AND SPREAD.",3/1/2025,68407697.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ID ST DEPT OF HEALTH & WELFARE,No description available,3/23/2025,67449188.0
USAID,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"THE PURPOSE OF THIS ACTIVITY IS TO STRENGTHEN EFFECTIVE GENERATION AND USE OF HIGH-QUALITY DATA AND EVIDENCE TO STRENGTHEN POLICIES AND PROGRAM IMPLEMENTATION IN LOW- AND MIDDLE-INCOME COUNTRIES. GH PEARL HAS BEEN DESIGNED TO SERVE AS A RESOURCE FOR MONITORING, EVALUATION, RESEARCH AND LEARNING (MERL) RELATED TO IMPROVEMENTS IN THE QUALITY, COVERAGE AND EQUITY OF FAMILY PLANNING (FP) AND REPRODUCTIVE, MATERNAL, NEWBORN, CHILD HEALTH AND NUTRITION (RMNCH+N) INTERVENTIONS.",3/1/2025,65253758.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,64349278.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CA Department of Health Care Services,No description available,3/23/2025,63997785.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX ST DEPARTMENT OF HEALTH,No description available,3/23/2025,62848922.0
USAID,TECHNOSERVE,"TO PROVIDE OPERATIONAL SUPPORT TO FIELD MISSIONS AND OTHER OPERATING UNITS OF THE U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID), CONTRIBUTING TO THE GOALS OF THE GLOBAL FOOD SECURITY STRATEGY THROUGH THE IMPLEMENTATION OF PROGRAMMING ALIGNED WITH THE AGENCY’S LSFF RESULTS FRAMEWORK. REFLECTING PRIORITIES IN THE REVISED GFSS 2022- 2026, USAID AND IMPLEMENTING PARTNERS WILL USE THIS ACTIVITY TO ADVANCE A COMPREHENSIVE FOOD SYSTEMS APPROACH, WHILE PROACTIVELY COUNTERING THE COVID-19 PANDEMIC AND OTHER GLOBAL CRISES’ LONG-TERM EFFECTS ON NUTRITION.",3/1/2025,62504799.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CA Department of Health Care Services,No description available,3/23/2025,62276642.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH RESEARCH, INC.",No description available,3/23/2025,62262226.0
US AGENCY FOR GLOBAL MEDIA,Radio Free Asia,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEASIA,3/15/2025,60830000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH & HUMAN SVC COMMN TX,No description available,3/23/2025,60505358.0
USAID,ANOVA HEALTH INSTITUTE,"THE PURPOSE OF THIS ACTIVITY WILL BE TO CLOSE THE GAPS TO HIV EPIDEMIC CONTROL; SUSTAIN HEALTH GAINS THROUGH STRENGTHENED, IMPROVED, AND RESILIENT HEALTH SYSTEMS; AND LEVERAGE COMMUNITY, CIVIL SOCIETY, AND PRIVATE SECTOR PARTNERSHIPS TO IMPROVE AND SUSTAIN SERVICE DELIVERY AND CLIENT OUTCOMES IN LIMPOPO PROVINCE.",3/10/2025,60205950.0
USAID,"CHEMONICS INTERNATIONAL, INC.",EDU-NEW AWARD: THE LIBERIA FOUNDATIONAL SKILLS ACTIVITY WILL INCREASE THE NUMBER OF CHILDREN ACCESSING PRIMARY SCHOOL AND MEETING GOVERNMENT OF LIBERIA LEARNING STANDARDS.,3/1/2025,59440754.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,58841812.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE","THE OBJECTIVE OF THE PARTNERSHIPS PROGRAM IS TO STRENGTHEN THE HIGHER EDUCATION SYSTEM TO ADDRESS EGYPT’S DEVELOPMENT PRIORITIES. THROUGH PARTNERSHIPS WITH THE MINISTRY OF HIGHER EDUCATION AND SCIENTIFIC RESEARCH (MOHESR), EGYPTIAN HIGHER EDUCATION INSTITUTIONS (HEIS), AND THE PRIVATE SECTOR, THE PARTNERSHIPS ACTIVITY WILL ACCELERATE THE MOHESR’S VISION TO TRANSFORM EGYPT’S PUBLIC HEIS INTO WORLD-CLASS, MARKET-RELEVANT CENTERS OF LEARNING THAT PREPARE AND CONNECT EGYPTIAN STUDENTS TO THE WORKFORCE.",3/1/2025,58724000.0
USAID,PATH A WASHINGTON NONPROFIT CORP,No description available,3/10/2025,58665200.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,CT ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,56868701.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",No description available,3/23/2025,54863370.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HEALTH & HUMAN SVC COMMN TX,No description available,3/23/2025,54051826.0
USAID,FAMILY HEALTH SERVICES,KUTETEZA (HIV PREVENTION),3/1/2025,53283580.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,52524001.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DIVISION OF CHILD AND FAMILY SERVICES,No description available,3/23/2025,52010926.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,51582432.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"OR ST DEPARTMENT OF HUMAN RESOURCES, HEALTH DIVISION",No description available,3/23/2025,51030175.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,50729836.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INDIANA STATE DEPARTMENT OF HEALTH,No description available,3/23/2025,50662718.0
USAID,RTI INTERNATIONAL,USAID'S STRENGTHENING LOCAL LEVEL HEALTH SYSTEM ACTIVITY,3/1/2025,50508000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MN ST DEPARTMENT OF HEALTH,No description available,3/23/2025,50151685.0
USAID,VERNONBURG GROUP LLC,"THE PURPOSE OF THIS AGREEMENT BETWEEN USAID AND VERNONBURG GROUP LLC (VERNONBURG), TOGETHER AND IN CONSULTATION WITH INDUSTRY AND INTERAGENCY PARTNERS, IS TO ESTABLISH AND DEPLOY THE CONNECT ONE BILLION ENTITY FOR SMALL TO MID-SIZED INTERNET SERVICE PROVIDERS (ISPS) IN LOW AND MIDDLE-INCOME COUNTRIES (LMICS). THIS NEW ENTITY IS BEING DESIGNED TO STRATEGICALLY COMBINE TECHNICAL ASSISTANCE AND GRANTS, CONCESSIONAL FUNDING, AND GROWTH CAPITAL TO HOLISTICALLY SUPPORT ISPS THROUGHOUT THEIR GROWTH, BRINGING ONE BILLION NEW INDIVIDUALS UNDER COVERAGE OF SECURE BROADBAND CONNECTIVITY. UP TO USD$250M IS BEING TARGETED FOR CONNECT ONE BILLION TO DIRECTLY SUPPORT 50 ISPS WITH INVESTMENT CAPITAL AND TECHNICAL ASSISTANCE RANGING FROM USD$100K TO USD$8M THROUGH A SUSTAINABLE INVESTMENT MODEL. USAID FUNDING FOR THIS AGREEMENT WILL BE USED TO COVER OPERATIONAL EXPENSES, LEGAL AND SETUP COSTS, AND TO DEVELOP INNOVATIVE FINANCING PRODUCTS AND TECHNICAL ASSISTANCE FOR THE CONNECT ONE BILLION ENTITY THAT WILL BE DEPLOYED IN A SUSTAINABLE MANNER FOR A PERIOD OF 5-10 YEARS BEYOND ESTABLISHMENT. USAID FUNDING WILL BE DISBURSED AS MILESTONE PAYMENTS COMMENSURATE WITH COMPLETION OF KEY ACCOMPLISHMENTS IN THE ESTABLISHMENT OF, FUNDRAISING FOR, AND DEPLOYMENT OF CONNECT ONE BILLION.",3/1/2025,50000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH FOUNDATION ENTERPRISES, INC",No description available,3/23/2025,49335935.0
USAID,HELEN KELLER INTERNATIONAL,"THE PURPOSE OF THIS ACTIVITY IS TO IMPROVE THE NUTRITION STATUS OF WOMEN, ADOLESCENTS, AND CHILDREN IN NEPAL’S UNDERSERVED AND MARGINALIZED COMMUNITIES.",3/10/2025,49032466.0
USAID,THE JOHNS HOPKINS UNIVERSITY,"THE OBJECTIVE OF THE COOPERATIVE AGREEMENT IS TO ADVANCE PROGRESS TOWARDS THE INSTITUTIONALIZATION OF KNOWLEDGE MANAGEMENT (KM) AT GLOBAL AND LOCAL LEVELS THAT IS ACCESSIBLE AND TAILORED TO THE NEEDS OF RELEVANT STAKEHOLDERS AND EQUITABLY ENGAGES MARGINALIZED GROUPS ACROSS FP/RH AND OTHER GLOBAL HEALTH COMMUNITIES. THE ACTIVITY’S PURPOSE IS TO INCREASE IMPACT, REALIZE EFFICIENCIES, AND ACHIEVE BETTER DEVELOPMENT OUTCOMES BY INTEGRATING KM ACTIVITIES AND CAPACITY INTO GLOBAL HEALTH AND DEVELOPMENT PROGRAMS.",3/1/2025,47788401.0
USAID,PAN AMERICAN HEALTH ORGANIZATION,"THE PURPOSE OF THE GRANT IS TO PROVIDE SUPPORT TO THE PAN AMERICAN HEALTH ORGANIZATION (PAHO), WHICH SERVES AS REGIONAL OFFICE FOR THE AMERICAS OF THE WORLD HEALTH ORGANIZATION. THE USAID-PAHO UMBRELLA GRANT 2022-2027 WILL SUPPORT THE FOLLOWING EFFORTS IN THE REGION OF THE AMERICAS: HEALTH SYSTEM STRENGTHENING, MATERNAL CHILD HEALTH, TUBERCULOSIS, MALARIA, NEGLECTED TROPICAL DISEASES, COVID-19 RESPONSE AND OTHER AREAS.",3/1/2025,47782956.0
USAID,CORNELL UNIVERSITY,THE FEED THE FUTURE INNOVATION LAB CROP IMPROVEMENT WILL BE ENABLE THE DEVELOPMENT OF GLOBAL PORTFOLIO OF CROP IMPROVEMENT RESEARCH-FOR-DEVELOPMENT ACTIVITIES.,3/1/2025,47702653.0
